Blocked
10227 # done pyridoxal
10415 # we added a gap but not sure if it works now ?
10543 # done folate biosynthesis
10915 # done coA pathway
11143 # done deleted
11163 # in progress
11199
11227
11675
11827
12059
12248
12379
12608
12736
12936
13104
13316
13325
13389
13432
13512
13668
13720
13728
14268
14372
14548
14800
14964
15152
15196
15268
15308
15428
15616
15652
15692
15808
15820
15840
15992
16204
16236 # done coA pathway
16373 # done coA pathway
16432
16576
16796 # done coA pathway
16864
16884
16916
17032
17105
17236
17240
17420
17473 # done folate biosynthesis
17756
17772
17801
17808
17848
18164
18172
18248 # done coA pathway
18440
18460
18632
18684
18832
18988
19072
19364
19400 # done coA pathway
19484
19804 # done coA pathway
19892
19984
19988
19993
20517
20552
20715
20775
21083
21152
21199
21235
21623
21627
21871
22027
22060
22411
22475 # (done) coA pahtway (R)-pantetheine/16753 is a valid blocked reaction
22491
22495
22751
22840
22927
23103
23104
23287
23375
23427
23587 # done folate biosynthesis
23599
23663
23679
23707
23803
23867
24255
24363
24407
24491
24828
24930
25097
25107
25111
25184
25200
25248
25799
25879
25888
26122
26155
26212
26561
27488
27849
27861
27865
27881
27885
27889
27893
27897
27901
28073
28345
28357
28361
28377
28389
28406
28613
28659
28678
29366
29374
29402
30070
30115
30119
30131
30550
30734
30750
30754
30758
30762
30778
30782
30798
30818
30874
30938
30942
30946
31042
31078
31090
31094
31106
31110
31114
31118
31138
31146
31162
31166
31170
31174
31182
31186
31187
31194
31198
31202
31206
31210
31230
31286
31750
31758
31846
32174
32278
32462
32530
33870
34102
34118
34802
34854
36166
36374
40666
42288
43607
45335
45700
64823
70226
70298
72070
72078
74167
76650
77643
DF_15354
DF_17750
DF_29101
