maxatp,mu,id
163.27849328675322,1.696,glucose
78.5572326486352,0.634,glycerol
152.2227806046385,0.95,alanine
128.11845407302974,1.074,succinate
108.9853673435392,0.424,acetate
188.70557104132448,0.871,ribose
176.0636122402838,0.576,glutamate
116.69234493255834,0.595,salt
255.83381737321713,1.897,iptg
