Reaction	Isozyme	Gene	Stoichiometry	Confidence
R_rxn00283_c	2	PN9622940	2	1
R_rxn06435_c	1	PN9607740	1	1
R_rxn02831_c	1	PN9608890	4	0
R_rxn06436_c	1	PN9609355	1	1
R_rxn11040_c	1	PN9605290	2	1
R_rxn11040_c	2	PN9621665	2	1
R_rxn10226_c	1	PN9600040	3	1
R_rxn00839_c	1	PN9610485	4	1
R_rxn03437_c	1	PN9613460	2	1
R_rxn02143_c	1	PN9618320	4	1
R_rxn02143_c	2	PN9618325	4	1
R_rxn11946_c	1	PN9604075	2	1
R_rxn05408_c	1	PN9603500	1	1
R_rxn00858_c	1	PN9616865	1	1
R_rxn00358_c	1	PN9612385	2	1
R_rxn02128_c	1	PN9600060	2	1
R_rxn05613_c	1	PN9609990	5	1
R_rxn05613_c	1	PN9609995	5	1
R_rxn05613_c	2	PN9609990	5	1
R_rxn05613_c	2	PN9611480	5	1
R_rxn08807_c	1	PN9613925	1	1
R_rxn10227_c	1	PN9600040	3	1
R_rxn02277_c	1	PN9607895	1	1
R_rxn01275_c	1	PN9613070	2	1
R_rxn01275_c	2	PN9619300	2	1
R_rxn00260_c	1	PN9604195	2	1
R_rxn00260_c	2	PN9619510	2	1
R_rxn00260_c	3	PN9620475	2	1
R_rxn09272_c	1	PN9609290	4	1
R_rxn09272_c	2	PN9614385	4	1
R_rxn09272_c	3	PN9609300	4	1
R_rxn09272_c	4	PN9614370	4	1
R_rxn09272_c	5	PN9614375	4	1
R_rxn09272_c	6	PN9609295	4	1
R_rxn10204_c	1	PN9614040	4	1
R_rxn03538_c	1	PN9606825	1	0
R_rxn00598_c	1	PN9618315	4	0
R_rxn09177_c	1	PN9612450	12	1
R_rxn03907_c	1	PN9601085	2	1
R_rxn09692_c	1	PN9623290	1	0
R_rxn09692_c	2	PN9606025	1	0
R_rxn09692_c	3	PN9615095	1	0
R_rxn02312_c	1	PN9607915	2	1
R_rxn01300_c	1	PN9611050	2	1
R_rxn01858_c	1	PN9612785	1	1
R_rxn01858_c	2	PN9617785	1	1
R_rxn01241_c	1	PN9601345	2	1
R_rxn01241_c	2	PN9621795	2	1
R_rxn03241_c	1	PN9602805	4	1
R_rxn03241_c	2	PN9613240	4	1
R_rxn08804_c	1	PN9613925	1	1
R_rxn08813_c	1	PN9613925	1	1
R_rxn08808_c	1	PN9613925	1	1
R_rxn08845_c	1	PN9613925	1	1
R_rxn08851_c	1	PN9613925	1	1
R_rxn08802_c	1	PN9613925	1	1
R_rxn08848_c	1	PN9613925	1	1
R_rxn08838_c	1	PN9613925	1	1
R_rxn08797_c	1	PN9613925	1	1
R_rxn08821_c	1	PN9613925	1	1
R_rxn08809_c	1	PN9613925	1	1
R_rxn08849_c	1	PN9613925	1	1
R_rxn08812_c	1	PN9613925	1	1
R_rxn08823_c	1	PN9613925	1	1
R_rxn08803_c	1	PN9613925	1	1
R_rxn08822_c	1	PN9613925	1	1
R_rxn08814_c	1	PN9613925	1	1
R_rxn08801_c	1	PN9613925	1	1
R_rxn08841_c	1	PN9613925	1	1
R_rxn08840_c	1	PN9613925	1	1
R_rxn08815_c	1	PN9613925	1	1
R_rxn08844_c	1	PN9613925	1	1
R_rxn00182_c	1	PN9605600	6	1
R_rxn00145_c	1	PN9615345	4	1
R_rxn02937_c	1	PN9602425	2	1
R_rxn01219_c	1	PN9603620	1	1
R_rxn01477_c	1	PN9613075	3	1
R_rxn38837_c	1	PN9615505	1	1
R_rxn04996_c	1	PN9610860	2	1
R_rxn08900_c	1	PN9606470	1	1
R_rxn08900_c	2	PN9619465	1	1
R_rxn01791_c	1	PN9601380	2	1
R_rxn04792_c	1	PN9616515	2	1
R_rxn04792_c	2	PN9621720	2	1
R_rxn10202_c	1	PN9614040	4	1
R_rxn08547_c	1	PN9614040	4	1
R_rxn10203_c	1	PN9614040	4	1
R_rxn10210_c	1	PN9614040	4	1
R_rxn08551_c	1	PN9614040	4	1
R_rxn01152_c	1	PN9621540	6	1
R_rxn00748_c	1	PN9604755	6	1
R_rxn00748_c	2	PN9619735	6	1
R_rxn00748_c	3	PN9619810	6	1
R_rxn00178_c	1	PN9621465	4	1
R_rxn00178_c	2	PN9602800	4	1
R_rxn00178_c	3	PN9619050	4	1
R_rxn00178_c	4	PN9613245	4	1
R_rxn00178_c	5	PN9618050	4	1
R_rxn00178_c	6	PN9618315	4	1
R_rxn03958_c	1	PN9602290	2	1
R_rxn03084_c	1	PN9610190	1	1
R_rxn00198_c	1	PN9608360	2	1
R_rxn05417_c	1	PN9603495	2	1
R_rxn05417_c	1	PN9603515	2	1
R_rxn05417_c	2	PN9603515	2	1
R_rxn05417_c	2	PN9620380	2	1
R_rxn10221_c	1	PN9602285	2	1
R_rxn01333_c	1	PN9618165	2	1
R_rxn02320_c	1	PN9607790	2	1
R_rxn02320_c	2	PN9617550	2	1
R_rxn00695_c	1	PN9608305	4	1
R_rxn00695_c	2	PN9620845	4	1
R_rxn11702_c	1	PN9608910	2	1
R_rxn00545_c	1	PN9614310	4	1
R_rxn06446_c	1	PN9607920	2	1
R_rxn01211_c	1	PN9609125	2	1
R_rxn02782_c	1	PN9618335	8	1
R_rxn06441_c	1	PN9609895	1	1
R_rxn00147_c	1	PN9617465	2	1
R_rxn00147_c	2	PN9621140	2	1
R_rxn06078_c	1	PN9610370	4	1
R_rxn02260_c	1	PN9619070	1	1
R_rxn02260_c	2	PN9621445	1	1
R_rxn00800_c	1	PN9607845	4	1
R_rxn05735_c	1	PN9605305	4	1
R_rxn05735_c	1	PN9619585	4	1
R_rxn05735_c	1	PN9608230	4	1
R_rxn05735_c	1	PN9608640	4	1
R_rxn05735_c	1	PN9615085	4	1
R_rxn01790_c	1	PN9602060	1	1
R_rxn01790_c	2	PN9605095	1	1
R_rxn09206_c	1	PN9600040	3	1
R_rxn10229_c	1	PN9600040	3	1
R_rxn09205_c	1	PN9600040	3	1
R_rxn09207_c	1	PN9600040	3	1
R_rxn09211_c	1	PN9600040	3	1
R_rxn00251_c	1	PN9614785	4	1
R_rxn10121_c	1	PN9619170	2	1
R_rxn10121_c	2	PN9620320	2	1
R_rxn08025_c	1	PN9606535	4	1
R_rxn08025_c	2	PN9619460	4	1
R_rxn08025_c	3	PN9608690	4	1
R_rxn08025_c	4	PN9617680	4	1
R_rxn08025_c	5	PN9617690	4	1
R_rxn05175_c	1	PN9608660	5	1
R_rxn05175_c	2	PN9608650	5	1
R_rxn05175_c	3	PN9608655	5	1
R_rxn00903_c	1	PN9621010	2	1
R_rxn00806_c	1	PN9621010	2	1
R_rxn03243_c	1	PN9602800	4	1
R_rxn03243_c	2	PN9621465	4	1
R_rxn03243_c	3	PN9613245	4	1
R_rxn03243_c	4	PN9618050	4	1
R_rxn03243_c	5	PN9619050	4	1
R_rxn02804_c	1	PN9602800	4	1
R_rxn02804_c	2	PN9621465	4	1
R_rxn02804_c	3	PN9613245	4	1
R_rxn02804_c	4	PN9618050	4	1
R_rxn02804_c	5	PN9619050	4	1
R_rxn00676_c	1	PN9602800	4	1
R_rxn00676_c	2	PN9621465	4	1
R_rxn00676_c	3	PN9613245	4	1
R_rxn00676_c	4	PN9618050	4	1
R_rxn00676_c	5	PN9619050	4	1
R_rxn03040_c	1	PN9612080	3	1
R_rxn03194_c	1	PN9611560	2	1
R_rxn03194_c	1	PN9611565	2	1
R_rxn03194_c	2	PN9611560	2	1
R_rxn03194_c	2	PN9613470	2	1
R_rxn03194_c	3	PN9613465	2	1
R_rxn03194_c	3	PN9611565	2	1
R_rxn03194_c	4	PN9613465	2	1
R_rxn03194_c	4	PN9613470	2	1
R_rxn02449_c	1	PN9613770	2	1
R_rxn00206_c	1	PN9603200	2	1
R_rxn00206_c	2	PN9615405	2	1
R_rxn30509_c	1	PN9601215	5	0
R_rxn30509_c	2	PN9601205	5	0
R_rxn00134_c	1	PN9601295 	1	1
R_rxn07688_c	1	PN9602805	4	1
R_rxn07688_c	2	PN9613240	4	1
R_rxn03239_c	1	PN9602805	4	1
R_rxn03239_c	2	PN9613240	4	1
R_rxn03440_c	1	PN9602805	4	1
R_rxn03440_c	2	PN9613240	4	1
R_rxn03240_c	1	PN9602805	4	1
R_rxn03240_c	2	PN9613240	4	1
R_rxn03244_c	1	PN9602805	4	1
R_rxn03244_c	2	PN9613240	4	1
R_rxn04750_c	1	PN9602805	4	1
R_rxn04750_c	2	PN9613240	4	1
R_rxn02934_c	1	PN9602805	4	1
R_rxn02934_c	2	PN9613240	4	1
R_rxn06777_c	1	PN9602805	4	1
R_rxn06777_c	2	PN9613240	4	1
R_rxn02181_c	1	PN9602805	4	1
R_rxn02181_c	2	PN9613240	4	1
R_rxn01485_c	1	PN9601620	2	1
R_rxn01138_c	1	PN9601755	6	1
R_rxn01138_c	2	PN9615250	6	1
R_rxn02003_c	1	PN9612230	1	1
R_rxn03433_c	1	PN9619070	1	1
R_rxn03433_c	2	PN9621445	1	1
R_rxn05049_c	1	PN9619070	1	1
R_rxn05049_c	2	PN9621445	1	1
R_rxn05429_c	1	PN9603495	2	1
R_rxn05429_c	1	PN9603515	2	1
R_rxn05429_c	2	PN9603515	2	1
R_rxn05429_c	2	PN9620380	2	1
R_rxn05348_c	1	PN9603495	2	1
R_rxn05348_c	1	PN9603515	2	1
R_rxn05348_c	2	PN9603515	2	1
R_rxn05348_c	2	PN9620380	2	1
R_rxn05348_c	3	PN9602865	2	1
R_rxn01353_c	1	PN9603495	2	1
R_rxn01353_c	1	PN9603515	2	1
R_rxn01353_c	2	PN9603515	2	1
R_rxn01353_c	2	PN9620380	2	1
R_rxn05371_c	1	PN9603495	2	1
R_rxn05371_c	1	PN9603515	2	1
R_rxn05371_c	2	PN9603515	2	1
R_rxn05371_c	2	PN9620380	2	1
R_rxn05349_c	1	PN9603495	2	1
R_rxn05349_c	1	PN9603515	2	1
R_rxn05349_c	2	PN9603515	2	1
R_rxn05349_c	2	PN9620380	2	1
R_rxn05413_c	1	PN9603495	2	1
R_rxn05413_c	1	PN9603515	2	1
R_rxn05413_c	2	PN9603515	2	1
R_rxn05413_c	2	PN9620380	2	1
R_rxn05400_c	1	PN9603495	2	1
R_rxn05400_c	1	PN9603515	2	1
R_rxn05400_c	2	PN9603515	2	1
R_rxn05400_c	2	PN9620380	2	1
R_rxn05384_c	1	PN9603495	2	1
R_rxn05384_c	1	PN9603515	2	1
R_rxn05384_c	2	PN9603515	2	1
R_rxn05384_c	2	PN9620380	2	1
R_rxn05363_c	1	PN9603495	2	1
R_rxn05363_c	1	PN9603515	2	1
R_rxn05363_c	2	PN9603515	2	1
R_rxn05363_c	2	PN9620380	2	1
R_rxn05460_c	1	PN9603495	2	1
R_rxn05460_c	1	PN9603515	2	1
R_rxn05460_c	2	PN9603515	2	1
R_rxn05460_c	2	PN9620380	2	1
R_rxn05345_c	1	PN9603495	2	1
R_rxn05345_c	1	PN9603515	2	1
R_rxn05345_c	2	PN9603515	2	1
R_rxn05345_c	2	PN9620380	2	1
R_rxn05421_c	1	PN9603495	2	1
R_rxn05421_c	1	PN9603515	2	1
R_rxn05421_c	2	PN9603515	2	1
R_rxn05421_c	2	PN9620380	2	1
R_rxn05379_c	1	PN9603495	2	1
R_rxn05379_c	1	PN9603515	2	1
R_rxn05379_c	2	PN9603515	2	1
R_rxn05379_c	2	PN9620380	2	1
R_rxn05404_c	1	PN9603495	2	1
R_rxn05404_c	1	PN9603515	2	1
R_rxn05404_c	2	PN9603515	2	1
R_rxn05404_c	2	PN9620380	2	1
R_rxn05347_c	1	PN9603495	2	1
R_rxn05347_c	1	PN9603515	2	1
R_rxn05347_c	2	PN9603515	2	1
R_rxn05347_c	2	PN9620380	2	1
R_rxn02160_c	1	PN9607785	2	1
R_rxn00881_c	1	PN9610540	2	1
R_rxn03901_c	1	PN9611420	7	1
R_rxn00786_c	1	PN9600905	2	1
R_rxn00627_c	1	PN9600060	2	1
R_rxn01200_c	1	PN9600890	2	1
R_rxn01200_c	2	PN9618160	2	1
R_rxn01673_c	1	PN9610485	4	1
R_rxn01353_c	1	PN9610485	4	1
R_rxn08669_c	1	PN9616795	2	1
R_rxn00584_c	1	PN9609115	4	0
R_rxn00584_c	1	PN9618365	4	1
R_rxn01620_c	1	PN9621530	4	1
R_rxn01434_c	1	PN9614805	4	1
R_rxn05006_c	1	PN9611830	1	1
R_rxn05006_c	2	PN9619175	1	1
R_rxn05006_c	3	PN9620335	1	1
R_rxn00239_c	1	PN9612560	2	1
R_rxn01517_c	1	PN9612560	2	0
R_rxn01517_c	2	PN9602270	6	1
R_rxn00119_c	1	PN9612560	2	0
R_rxn00119_c	2	PN9602270	6	1
R_rxn00777_c	1	PN9600935	2	1
R_rxn03395_c	1	PN9604075	2	1
R_rxn08983_c	1	PN9607430	2	1
R_rxn08983_c	2	PN9612850	2	1
R_rxn08983_c	3	PN9617175	2	1
R_rxn01362_c	1	PN9602935	4	1
R_rxn01362_c	2	PN9612465	2	1
R_rxn06445_c	1	PN9602195	2	1
R_rxn05569_c	1	PN9609520	2	1
R_rxn02484_c	1	PN9616705	1	1
R_rxn10257_c	1	PN9612395	3	1
R_rxn10257_c	2	PN9617840	3	1
R_rxn02988_c	1	PN9608115	2	1
R_rxn02521_c	1	PN9611835	2	0
R_rxn00710_c	1	PN9603645	2	1
R_rxn03908_c	1	PN9609735	2	1
R_rxn00670_c	1	PN9603360	6	1
R_rxn00670_c	2	PN9622000	6	1
R_rxn00288_c	1	PN9609290	4	1
R_rxn00288_c	2	PN9614385	4	1
R_rxn00288_c	3	PN9609300	4	1
R_rxn00288_c	4	PN9614370	4	1
R_rxn00288_c	5	PN9614375	4	1
R_rxn00288_c	6	PN9609295	4	1
R_rxn03951_c	1	PN9611635	2	1
R_rxn05115_c	1	PN9613575	8	1
R_rxn08764_c	1	PN9613170	4	1
R_rxn05454_c	1	PN9603500	1	1
R_rxn03060_c	1	PN9601430	1	1
R_rxn08294_c	1	PN9612395	3	1
R_rxn08294_c	2	PN9617840	3	1
R_rxn00711_c	1	PN9602430	6	1
R_rxn08299_c	1	PN9612395	3	1
R_rxn08299_c	2	PN9617840	3	1
R_rxn09345_c	1	PN9602280	2	1
R_rxn02939_c	1	PN9602895	2	1
R_rxn01013_c	1	PN9600450	4	1
R_rxn06447_c	1	PN9607185	2	1
R_rxn00910_c	1	PN9614775	2	1
R_rxn05610_c	1	PN9609520	2	1
R_rxn01331_c	1	PN9600895	4	1
R_rxn01331_c	2	PN9603030	4	1
R_rxn01329_c	1	PN9622645	1	1
R_rxn08298_c	1	PN9612395	3	1
R_rxn08298_c	2	PN9617840	3	1
R_rxn08300_c	1	PN9612395	3	1
R_rxn08300_c	2	PN9617840	3	1
R_rxn08296_c	1	PN9612395	3	1
R_rxn08296_c	2	PN9617840	3	1
R_rxn10255_c	1	PN9612395	3	1
R_rxn10255_c	2	PN9617840	3	1
R_rxn00867_c	1	PN9617630	4	1
R_rxn01021_c	1	PN9611120	2	1
R_rxn01029_c	1	PN9605005	2	1
R_rxn04788_c	1	PN9605225	2	1
R_rxn05219_c	1	PN9609990	5	1
R_rxn05219_c	1	PN9609995	5	1
R_rxn05219_c	2	PN9609990	5	1
R_rxn05219_c	2	PN9611480	5	1
R_rxn05183_c	1	PN9609990	5	1
R_rxn05183_c	1	PN9609995	5	1
R_rxn05183_c	2	PN9609990	5	1
R_rxn05183_c	2	PN9611480	5	1
R_rxn01000_c	1	PN9610780	2	1
R_rxn00943_c	1	PN9608810	4	1
R_rxn00509_c	1	PN9605010	4	1
R_rxn00509_c	2	PN9622225	4	1
R_rxn00509_c	3	PN9622900	4	1
R_rxn05256_c	1	PN9614965	2	1
R_rxn00500_c	1	PN9616785	4	1
R_rxn00500_c	2	PN9620240	2	1
R_rxn06865_c	1	PN9605075	1	1
R_rxn06865_c	2	PN9612460	1	1
R_rxn05607_c	1	PN9609520	2	1
R_rxn05607_c	2	PN9615675	3	1
R_rxn21862_c	1	PN9602315	6	1
R_rxn01974_c	1	PN9613885	2	1
R_rxn37569_c	1	PN9602130	6	1
R_rxn37569_c	1	PN9602140	3	1
R_rxn37569_c	1	PN9602120	3	1
R_rxn37569_c	1	PN9602115	6	1
R_rxn37569_c	1	PN9602135	6	1
R_rxn37569_c	1	PN9602125	6	1
R_rxn10234_c	1	PN9614450	2	1
R_rxn09202_c	1	PN9614450	2	1
R_rxn10235_c	1	PN9614450	2	1
R_rxn10237_c	1	PN9614450	2	1
R_rxn00194_c	1	PN9607390	2	0
R_rxn00189_c	1	PN9618815	2	1
R_rxn00189_c	2	PN9600795	2	1
R_rxn00775_c	1	PN9611355	2	1
R_rxn00775_c	2	PN9617040	2	1
R_rxn00775_c	3	PN9620215	2	1
R_rxn00139_c	1	PN9602960	2	1
R_rxn12637_c	1	PN9600615	6	1
R_rxn12637_c	2	PN9610490	6	1
R_rxn12637_c	3	PN9602255	1	1
R_rxn12637_c	4	PN9604945	4	1
R_rxn12637_c	5	PN9614690	4	0
R_rxn00831_c	1	PN9607525	1	1
R_rxn00831_c	1	PN9609695	1	1
R_rxn00831_c	1	PN9620755	1	1
R_rxn01268_c	1	PN9610810	2	1
R_rxn01146_c	1	PN9601745	2	1
R_rxn03175_c	1	PN9607775	1	1
R_rxn00001_c	1	PN9607680	6	1
R_rxn00001_c	2	PN9611750	6	1
R_rxn00208_c	1	PN9616200	2	1
R_rxn00549_c	1	PN9611745	8	1
R_rxn00549_c	2	PN9612055	2	1
R_rxn00148_c	1	PN9603585	4	1
R_rxn00148_c	2	PN9611555	4	1
R_rxn00588_c	1	PN9618345	2	1
R_rxn03904_c	1	PN9611220	2	1
R_rxn00351_c	1	PN9600855	4	1
R_rxn03004_c	1	PN9602420	1	1
R_rxn00784_c	1	PN9601740	1	1
R_rxn05239_c	1	PN9614965	2	1
R_rxn01649_c	1	PN9601755	6	1
R_rxn01649_c	2	PN9615250	6	1
R_rxn00256_c	1	PN9609305	6	1
R_rxn00256_c	2	PN9611595	2	1
R_rxn00256_c	3	PN9619610	2	1
R_rxn02185_c	1	PN9611560	2	1
R_rxn02185_c	1	PN9611565	2	1
R_rxn02185_c	2	PN9613470	4	1
R_rxn02185_c	2	PN9611560	2	1
R_rxn02185_c	3	PN9611565	2	1
R_rxn02185_c	3	PN9613465	4	1
R_rxn02185_c	4	PN9613465	4	1
R_rxn02185_c	4	PN9613470	4	1
R_rxn05226_c	1	PN9603555	2	1
R_rxn05226_c	1	PN9609520	2	1
R_rxn00539_c	1	PN9617240	4	1
R_rxn00539_c	2	PN9617245	2	1
R_rxn03892_c	1	PN9611685	2	1
R_rxn21857_c	1	PN9603505	4	1
R_rxn01522_c	1	PN9617590	3	1
R_rxn01522_c	1	PN9617595	3	1
R_rxn03150_c	1	PN9606815	1	1
R_rxn00395_c	1	PN9600580	4	1
R_rxn00569_c	1	PN9619165	2	1
R_rxn00569_c	1	PN9619170	2	1
R_rxn00569_c	2	PN9620320	2	1
R_rxn00569_c	2	PN9620325	2	1
R_rxn12206_c	1	PN9608010	5	1
R_rxn12206_c	2	PN9608025	5	1
R_rxn05383_c	1	PN9603500	1	1
R_rxn05456_c	1	PN9603500	1	1
R_rxn05452_c	1	PN9603500	1	1
R_rxn05452_c	1	PN9603500	1	1
R_rxn10184_c	1	PN9609520	2	1
R_rxn05647_c	1	PN9617685	2	1
R_rxn05647_c	1	PN9609520	2	1
R_rxn05647_c	2	PN9609520	2	1
R_rxn05647_c	2	PN9619455	2	1
R_rxn05567_c	1	PN9609520	2	1
R_rxn05485_c	1	PN9613190	2	1
R_rxn05485_c	1	PN9609520	2	1
R_rxn05485_c	2	PN9609520	2	1
R_rxn05485_c	2	PN9609360	2	1
R_rxn03393_c	1	PN9613795	6	1
R_rxn10344_c	1	PN9608610	2	1
R_rxn06432_c	1	PN9609220	1	1
R_rxn01387_c	1	PN9608360	2	1
R_rxn00097_c	1	PN9609400	1	1
R_rxn01127_c	1	PN9609400	1	1
R_rxn00364_c	1	PN9603620	1	1
R_rxn00830_c	1	PN9617180	8	1
R_rxn00830_c	2	PN9620670	4	1
R_rxn03136_c	1	PN9607845	4	1
R_rxn06300_c	1	PN9601140	4	1
R_rxn00693_c	1	PN9600265	4	1
R_rxn00946_c	1	PN9602405	2	1
R_rxn03884_c	1	PN9613060	3	1
R_rxn03884_c	2	PN9616560	3	1
R_rxn00143_c	1	PN9611120	2	1
R_rxn02971_c	1	PN9618340	10	1
R_rxn10029_c	1	PN9602865	2	1
R_rxn10220_c	1	PN9602285	2	1
R_rxn08312_c	1	PN9602285	2	1
R_rxn08311_c	1	PN9602285	2	1
R_rxn02405_c	1	PN9602285	2	1
R_rxn10224_c	1	PN9602285	2	1
R_rxn01100_c	1	PN9600900	1	1
R_rxn01987_c	1	PN9619705	2	1
R_rxn04043_c	1	PN9619705	2	0
R_rxn21859_c	1	PN9607415	1	1
R_rxn00423_c	1	PN9614415	6	1
R_rxn05305_c	1	PN9605105	5	1
R_rxn05305_c	2	PN9616570	5	1
R_rxn05305_c	3	PN9617930	5	1
R_rxn05305_c	4	PN9618040	5	1
R_rxn01807_c	1	PN9611050	2	1
R_rxn01807_c	2	PN9615645	2	1
R_rxn01807_c	3	PN9615645	2	1
R_rxn00002_c	1	PN9620635	3	1
R_rxn00002_c	1	PN9620630	3	1
R_rxn00002_c	2	PN9620635	3	1
R_rxn00002_c	2	PN9623175	1	1
R_rxn00002_c	3	PN9620630	3	1
R_rxn00002_c	3	PN9620635	3	1
R_rxn00002_c	4	PN9623175	1	1
R_rxn00002_c	4	PN9620635	3	1
R_rxn08976_c	1	PN9608560	4	1
R_rxn00114_c	1	PN9621810	2	1
R_rxn03159_c	1	PN9602325	2	1
R_rxn12512_c	1	PN9612450	12	1
R_rxn00741_c	1	PN9615345	4	1
R_rxn00741_c	2	PN9616800	2	1
R_rxn01513_c	1	PN9603530	2	1
R_rxn01492_c	1	PN9620910	2	1
R_rxn01492_c	2	PN9622130	2	1
R_rxn06440_c	1	PN9606060	1	1
R_rxn00904_c	1	PN9613295	2	1
R_rxn01465_c	1	PN9607205	2	1
R_rxn01465_c	2	PN9623080	2	1
R_rxn01257_c	1	PN9603925	4	1
R_rxn01257_c	2	PN9604245	2	1
R_rxn01257_c	3	PN9614615	4	1
R_rxn01213_c	1	PN9610075	8	0
R_rxn01213_c	2	PN9611685	2	1
R_rxn00179_c	1	PN9610130	4	1
R_rxn11663_c	1	PN9611635	4	1
R_rxn05029_c	1	PN9603450	2	1
R_rxn05029_c	2	PN9617875	2	1
R_rxn00065_c	1	PN9613870	1	1
R_rxn02889_c	1	PN9619025	12	1
R_rxn02889_c	2	PN9619035	12	0
R_rxn02889_c	3	PN9621480	12	0
R_rxn00272_c	1	PN9600275	2	1
R_rxn00272_c	2	PN9606300	2	1
R_rxn08557_c	1	PN9601945	2	1
R_rxn01520_c	1	PN9610915	2	1
R_rxn08438_c	1	PN9616510	1	1
R_rxn00789_c	1	PN9611160	4	1
R_rxn06439_c	1	PN9610465	2	1
R_rxn00669_c	1	PN9605365	1	0
R_rxn00674_c	1	PN9605365	1	0
R_rxn10260_c	1	PN9603990	1	0
R_rxn10264_c	1	PN9603990	1	0
R_rxn02897_c	1	PN9606830	2	1
R_rxn09240_c	1	PN9611820	3	1
R_rxn09240_c	1	PN9611825	3	1
R_rxn09240_c	2	PN9612310	3	1
R_rxn09240_c	2	PN9611820	3	1
R_rxn09240_c	3	PN9612325	3	1
R_rxn09240_c	3	PN9611825	3	1
R_rxn09240_c	4	PN9612310	3	1
R_rxn09240_c	4	PN9612325	3	1
R_rxn03893_c	1	PN9614035	1	1
R_rxn02473_c	1	PN9607785	2	1
R_rxn00193_c	1	PN9614090	1	1
R_rxn21858_c	1	PN9602315	6	1
R_rxn01274_c	1	PN9602375	1	1
R_rxn00086_c	1	PN9613050	2	1
R_rxn04787_c	1	PN9605215	2	1
R_rxn06280_c	1	PN9601575	2	1
R_rxn03137_c	1	PN9600180	1	0
R_rxn00832_c	1	PN9600180	1	0
R_rxn00898_c	1	PN9613460	2	1
R_rxn00338_c	1	PN9600990	2	1
R_rxn00369_c	1	PN9603440	4	1
R_rxn00709_c	1	PN9603440	4	1
R_rxn01739_c	1	PN9614855	1	1
R_rxn01073_c	1	PN9616795	1	0
R_rxn08087_c	1	PN9600555	1	0
R_rxn05581_c	1	PN9601960	4	1
R_rxn00686_c	1	PN9611655	1	0
R_rxn02085_c	1	PN9617635	2	1
R_rxn10150_c	1	PN9619935	6	1
R_rxn08443_c	1	PN9608810	4	1
R_rxn00170_c	1	PN9608810	4	1
R_rxn02321_c	1	PN9616050	1	0
R_rxn00808_c	1	PN9622130	1	0
R_rxn05114_c	1	PN9613570	3	1
R_rxn06438_c	1	PN9613280	4	1
R_rxn06438_c	2	PN9613285	2	1
R_rxn00187_c	1	PN9612760	12	1
R_rxn00537_c	1	PN9617080	2	1
R_rxn01476_c	1	PN9605285	1	0
R_rxn01204_c	1	PN9622200	4	1
R_rxn01204_c	2	PN9622895	4	1
R_rxn21860_c	1	PN9603515	2	1
R_rxn02270_c	1	PN9619060	4	1
R_rxn02270_c	2	PN9621455	4	1
R_rxn05287_c	1	PN9611685	1	0
R_rxn01997_c	1	PN9612235	2	1
R_rxn02177_c	1	PN9603805	2	1
R_rxn03511_c	1	PN9612355	5	1
R_rxn01102_c	1	PN9601435	1	0
R_rxn01102_c	2	PN9615645	2	1
R_rxn01102_c	3	PN9621920	1	0
R_rxn01964_c	1	PN9603905	4	1
R_rxn01964_c	1	PN9603910	2	1
R_rxn00146_c	1	PN9616785	4	1
R_rxn00146_c	2	PN9620240	2	1
R_rxn00770_c	1	PN9609740	6	1
R_rxn04654_c	1	PN9618345	2	1
R_rxn00512_c	1	PN9600450	4	1
R_rxn01169_c	1	PN9622390	2	1
R_rxn00849_c	1	PN9622955	2	1
R_rxn00166_c	1	PN9607340	1	1
R_rxn01352_c	1	PN9608930	4	1
R_rxn05528_c	1	PN9605745	2	1
R_rxn05528_c	2	PN9608610	1	0
R_rxn05528_c	3	PN9609650	2	1
R_rxn02373_c	1	PN9610125	2	1
R_rxn03087_c	1	PN9614620	2	1
R_rxn03384_c	1	PN9600140	2	1
R_rxn10120_c	1	PN9607460	2	1
R_rxn10120_c	1	PN9615290	2	1
R_rxn10120_c	1	PN9615295	1	0
R_rxn10120_c	1	PN9618070	6	1
R_rxn10120_c	2	PN9618065	2	1
R_rxn10120_c	2	PN9615290	2	1
R_rxn10120_c	2	PN9615295	1	0
R_rxn10120_c	2	PN9618070	6	1
R_rxn03408_c	1	PN9611205	2	1
R_rxn00171_c	1	PN9603185	2	1
R_rxn00171_c	2	PN9604715	2	1
R_rxn01366_c	1	PN9608605	6	1
R_rxn00285_c	1	PN9609270	4	1
R_rxn00285_c	2	PN9609265	4	1
R_rxn03075_c	1	PN9616680	3	1
R_rxn02331_c	1	PN9609700	3	1
R_rxn08706_c	1	PN9613240	4	1
R_rxn00461_c	1	PN9600550	1	0
R_rxn00717_c	1	PN9617020	4	1
R_rxn01416_c	1	PN9614015	2	1
R_rxn00791_c	1	PN9603920	2	1
R_rxn00863_c	1	PN9607795	2	1
R_rxn08647_c	1	PN9615645	2	1
R_rxn08647_c	2	PN9621920	1	0
R_rxn02835_c	1	PN9607765	1	0
R_rxn05155_c	1	PN9620050	5	1
R_rxn01018_c	1	PN9600565	12	1
R_rxn01018_c	2	PN9600570	12	1
R_rxn03883_c	1	PN9622080	1	1
R_rxn04954_c	1	PN9614775	2	1
R_rxn00540_c	1	PN9606250	2	1
R_rxn00126_c	1	PN9600880	4	1
R_rxn02305_c	1	PN9613665	1	1
R_rxn02305_c	2	PN9616675	1	1
R_rxn00303_c	1	PN9612570	2	1
R_rxn00303_c	2	PN9601060	2	1
R_rxn05234_c	1	PN9620455	2	1
