Reaction	Isozyme	Gene	Stoichiometry	Confidence
R_rxn08528_c	1	PN9614380	1	1
R_rxn08528_c	1	PN9614385	1	1
R_rxn01872_c	1	PN9609275	24	1
R_rxn00974_c	1	PN9601430	1	1
R_rxn00515_c	1	PN9610485	4	1
R_rxn01218_c	1	PN9607525	1	1
R_rxn01218_c	2	PN9609695	1	1
R_rxn08805_c	1	PN9613925	1	0
R_rxn00183_c	1	PN9616180	2	1
R_rxn00183_c	2	PN9619485	2	1
R_rxn01292_c	1	PN9616040	6	1
R_rxn01740_c	1	PN9613590	2	1
R_rxn01740_c	2	PN9618520	2	1
R_rxn02144_c	1	PN9611440	1	0
R_rxn00999_c	1	PN9606680	2	1
R_rxn01068_c	1	PN9615380	4	1
R_rxn11268_c	1	PN9611395	1	0
R_rxn09209_c	1	PN9600040	1	0
R_rxn10481_c	1	PN9609650	1	0
R_rxn01544_c	1	PN9610145	4	0
R_rxn15455_c	1	PN9618060	2	1
R_rxn05221_c	1	PN9615830	1	0
R_rxn05221_c	2	PN9616170	1	0
R_rxn05221_c	3	PN9619475	1	0
R_rxn00211_c	1	PN9612185	1	0
R_rxn08043_c	1	PN9613465	1	1
R_rxn08043_c	1	PN9613470	1	1
R_rxn10266_c	1	PN9610085	1	0
R_rxn10266_c	2	PN9616670	1	0
R_rxn09180_c	1	PN9613225	4	1
R_rxn00508_c	1	PN9617650	2	1
R_rxn08127_c	1	PN9615600	1	0
R_rxn12146_c	1	PN9604750	1	0
R_rxn00499_c	1	PN9615345	4	1
R_rxn12432_c	1	PN9618725	1	0
R_rxn12432_c	1	PN9618720	1	0
R_rxn01816_c	1	PN9614765	2	1
R_rxn06591_c	1	PN9609725	2	1
R_rxn03031_c	1	PN9601975	3	1
R_rxn10131_c	1	PN9621360	1	0
R_rxn01827_c	1	PN9606680	2	1
R_rxn05551_c	1	PN9617250	2	1
R_rxn05150_c	1	PN9609250	1	0
R_rxn05150_c	1	PN9609255	1	0
R_rxn05150_c	1	PN9609260	1	0
R_rxn05005_c	1	PN9611830	1	0
R_rxn05005_c	2	PN9619175	1	0
R_rxn05005_c	3	PN9620335	1	0
R_rxn00547_c	1	PN9607145	2	1
R_rxn06723_c	1	PN9602310	3	1
R_rxn05232_c	1	PN9620455	2	1
R_rxn05232_c	1	PN9620460	2	1
R_rxn00798_c	1	PN9603915	1	1
R_rxn12405_c	1	PN9604760	1	0
R_rxn01287_c	1	PN9610325	1	1
R_rxn05501_c	1	PN9617685	1	0
R_rxn05501_c	1	PN9609520	1	0
R_rxn05501_c	1	PN9619455	1	0
R_rxn05501_c	1	PN9609520	1	0
R_rxn00289_c	1	PN9605345	4	1
R_rxn00541_c	1	PN9620210	4	1
R_rxn20643_c	1	PN9613660	2	1
R_rxn06937_c	1	PN9609645	1	1
R_rxn01445_c	1	PN9607525	1	1
R_rxn01445_c	2	PN9609695	1	1
R_rxn10180_c	1	PN9606525	1	0
R_rxn06442_c	1	PN9601140	1	0
R_rxn00883_c	1	PN9610540	1	1
R_rxn00991_c	1	PN9619020	2	1
R_rxn00991_c	2	PN9621490	2	1
R_rxn01101_c	1	PN9600930	4	1
R_rxn05312_c	1	PN9611395	1	0
