Reaction;Protein;Stoichiometry;Subunit;Notes;RHEA_ID;Equation;KEGG
R09725;WP_024372767.1;1;;;42703;6-carboxyhexanoyl-[ACP]methylester+H2O<=>6-carboxyhexanoyl-[ACP]+methanol+H(+);Pimeloyl-[acyl-carrier protein] methyl ester + H2O <-> Pimeloyl-[acyl-carrier protein] + Methanol
R09726;WP_014232531.1;6;;;31334;molybdopterin+ATP+H(+)<=>adenylyl-molybdopterin+diphosphate;Molybdopterin + ATP <-> Diphosphate + Adenylated molybdopterin
R09735;WP_020333259.1;2;;;35050;adenylyl-molybdopterin+molybdate<=>Mo-molybdopterin+AMP+H(+);Molybdate + Adenylated molybdopterin <-> AMP + Molybdoenzyme molybdenum cofactor + H2O
R09735;WP_020334183.1;2;;;35050;adenylyl-molybdopterin+molybdate<=>Mo-molybdopterin+AMP+H(+);Molybdate + Adenylated molybdopterin <-> AMP + Molybdoenzyme molybdenum cofactor + H2O
R09736;WP_014230498.1;1;;;42643;a2-demethylmenaquinol+S-adenosyl-L-methionine<=>amenaquinol+S-adenosyl-L-homocysteine+H(+);S-Adenosyl-L-methionine + Demethylmenaquinol -> Menaquinol + S-Adenosyl-L-homocysteine
R09763;WP_020335728.1;1;;;28157;alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipidIVA(E.coli)+CMP-3-deoxy-beta-D-manno-octulosonate<=>alpha-Kdo-(2->8)-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipidIVA(E.coli)+CMP+H(+);KDO2-lipid IVA + CMP-3-deoxy-D-manno-octulosonate -> alpha-Kdo-(2->8)-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA + CMP
R09768;WP_014232735.1;4;;;27492;2D-sedoheptulose7-phosphate<=>D-glycero-alpha-D-manno-heptose7-phosphate+D-glycero-beta-D-manno-heptose7-phosphate;Sedoheptulose 7-phosphate <-> D-glycero-D-manno-Heptose 7-phosphate
R09769;WP_014232735.1;4;;;27489;2D-sedoheptulose7-phosphate=D-glycero-alpha-D-manno-heptose7-phosphate+D-glycero-beta-D-manno-heptose7-phosphate;Sedoheptulose 7-phosphate <-> D-glycero-alpha-D-manno-Heptose 7-phosphate
R09771;WP_020333715.1;1;;;28525;D-glycero-alpha-D-manno-heptose1,7-bisphosphate+H2O<=>D-glycero-alpha-D-manno-heptose1-phosphate+phosphate;D-glycero-alpha-D-manno-Heptose 1,7-bisphosphate + H2O -> D-glycero-alpha-D-manno-Heptose 1-phosphate + Orthophosphate
R09800;WP_014233710.1;1;;;52307;L-ectoine+H2O<=>(2S)-2-acetamido-4-aminobutanoate;Ectoine + H2O -> N(alpha)-Acetyl-L-2,4-diaminobutyrate
