Reaction	Condition	LB	UB	RID	System	Name	Flux
EMP2_v2	Ribose	-44.06779291864584	-12.183766962600629	11816	EMP	PGI	-26.225693039625646
EMP2_v2	Glucose	16.38859407938745	17.28003072730218	11816	EMP	PGI	16.869286269451027
EMP2_v2	Glycerol	-6.716581087178863	-0.6773030358569291	11816	EMP	PGI	-1.9555945378842083
EMP2_v2	Glutamate	-14.46032642293039	-11.752062488566501	11816	EMP	PGI	-12.860514900620329
EMP2_v2	Succinate	-0.7123676522435181	-0.5525480048134126	11816	EMP	PGI	-0.6295455234398434
EMP2_v2	Alanine	-1.3063629764691802	-0.9611456923967433	11816	EMP	PGI	-1.0976363658242987
EMP3_v3	Ribose	-2.832527356438231	4.4512201208573385	11064	EMP	FBP	0.3100603355810437
EMP3_v3	Glucose	17.412108822602157	18.26931403358974	16109	EMP	PFK	17.834726673762173
EMP3_v3	Glycerol	1.045056063594026	7.1227191511641195	11064	EMP	FBP	2.290985846220386
EMP3_v3	Glutamate	4.852060788674156	5.793176982181119	11064	EMP	FBP	5.245734219687542
EMP3_v3	Succinate	1.538039872692094	1.650741191989683	11064	EMP	FBP	1.5974444472672442
EMP3_v3	Alanine	1.465486696682598	1.652442871591817	11064	EMP	FBP	1.549666738827117
EMP4_v4	Ribose	-4.451220120857355	2.83252735643822	14729	EMP	FBA	-0.3100603355810638
EMP4_v4	Glucose	17.412108822602065	18.26931403358966	14729	EMP	FBA	17.834726673762077
EMP4_v4	Glycerol	-7.1227191511641195	-1.045056063594028	14729	EMP	FBA	-2.2909858462203863
EMP4_v4	Glutamate	-5.793176982181119	-4.852060788674156	14729	EMP	FBA	-5.245734219687542
EMP4_v4	Succinate	-1.650741191989683	-1.538039872692094	14729	EMP	FBA	-1.597444447267244
EMP4_v4	Alanine	-1.652442871591817	-1.465486696682598	14729	EMP	FBA	-1.549666738827117
EMP5_v5	Ribose	-2.832527356438244	4.451220120857314	18585	EMP	TPI	0.3100603355810308
EMP5_v5	Glucose	-18.26931403358975	-17.412108822602146	18585	EMP	TPI	-17.83472667376219
EMP5_v5	Glycerol	-10.36890706328503	-4.461067659208666	18585	EMP	TPI	-8.830485563136051
EMP5_v5	Glutamate	4.852060788674122	5.793176982181085	18585	EMP	TPI	5.245734219687514
EMP5_v5	Succinate	1.538039872692066	1.650741191989655	18585	EMP	TPI	1.5974444472672222
EMP5_v5	Alanine	1.465486696682559	1.652442871591786	18585	EMP	TPI	1.5496667388270828
EMP6_v6	Ribose	11.79914920944624	15.876851056847826	10300	EMP	GAPD	14.004714218298837
EMP6_v6	Ribose	-15.876851056847826	-11.79914920944624	14801	EMP	PGK	-14.004714218298837
EMP6_v6	Glucose	35.2910755356312	36.92889171309987	10300	EMP	GAPD	36.098528624002945
EMP6_v6	Glucose	-36.92889171309987	-35.2910755356312	14801	EMP	PGK	-36.098528624002945
EMP6_v6	Glycerol	3.263329183239729	9.15456483004688	10300	EMP	GAPD	7.654227054291438
EMP6_v6	Glycerol	-9.15456483004688	-3.263329183239729	14801	EMP	PGK	-7.654227054291438
EMP6_v6	Glutamate	-7.220470440401649	-6.287674085402969	10300	EMP	GAPD	-6.673483713224673
EMP6_v6	Glutamate	6.287674085402969	7.220470440401649	14801	EMP	PGK	6.673483713224673
EMP6_v6	Succinate	-3.8382792936865635	-3.702862916531173	10300	EMP	GAPD	-3.771293056415103
EMP6_v6	Succinate	3.702862916531173	3.8382792936865635	14801	EMP	PGK	3.771293056415103
EMP6_v6	Alanine	-3.379746827015813	-3.149563571331703	10300	EMP	GAPD	-3.260407004216907
EMP6_v6	Alanine	3.149563571331703	3.379746827015813	14801	EMP	PGK	3.260407004216907
EMP7_v7	Ribose	-14.013061913323957	-10.338940056910893	15901	EMP	PGM	-12.332713270284357
EMP7_v7	Ribose	10.338940056910893	14.013061913323957	10164	EMP	ENO	12.332713270284357
EMP7_v7	Glucose	-33.942775799251095	-32.33630581881862	15901	EMP	PGM	-33.1293326717796
EMP7_v7	Glucose	32.33630581881862	33.942775799251095	10164	EMP	ENO	33.1293326717796
EMP7_v7	Glycerol	-7.97458426851283	-2.094810508172267	15901	EMP	PGM	-6.5054286203757705
EMP7_v7	Glycerol	2.094810508172267	7.97458426851283	10164	EMP	ENO	6.5054286203757705
EMP7_v7	Glutamate	7.682361025065925	8.601093477023355	15901	EMP	PGM	8.06280466956845
EMP7_v7	Glutamate	-8.601093477023355	-7.682361025065925	10164	EMP	ENO	-8.06280466956845
EMP7_v7	Succinate	5.790922011408513	5.9751473267551125	15901	EMP	PGM	5.883199519133947
EMP7_v7	Succinate	-5.9751473267551125	-5.790922011408513	10164	EMP	ENO	-5.883199519133947
EMP7_v7	Alanine	4.727725119596977	5.02683682956611	15901	EMP	PGM	4.884155875143514
EMP7_v7	Alanine	-5.02683682956611	-4.727725119596977	10164	EMP	ENO	-4.884155875143514
EMP8_v8	Ribose	-14.592126747253968	-10.66910365545912	18157	EMP	PYK	-12.771095751679548
EMP8_v8	Glucose	-8.871349112965445	-3.5591662117224696	18157	EMP	PYK	-5.584742881476685
EMP8_v8	Glycerol	-7.52262325295036	-1.632170424725488	18157	EMP	PYK	-6.048550017059988
EMP8_v8	Glutamate	-2.7494044629196606	11.74970840290768	11364	EMP	PPS	8.55152742986109
EMP8_v8	Succinate	-10.34725574818631	8.476250618160101	11364	EMP	PPS	0.5119618984718982
EMP8_v8	Alanine	0.825396364268744	4.924535456925618	11364	EMP	PPS	3.6161176766093557
TCA1_v20	Ribose	8.721153371912973	12.049491361166446	28042	TCA	PDH	10.43910426613523
TCA1_v20	Glucose	23.40648635462328	24.88831720310965	28042	TCA	PDH	24.138521540882493
TCA1_v20	Glycerol	3.729745394694703	4.781090812556403	28042	TCA	PDH	4.198881639535821
TCA1_v20	Glutamate	2.702788606291943	3.389662141054474	28042	TCA	PDH	3.0237467325221337
TCA1_v20	Succinate	10.991255569572367	11.709043175706471	28042	TCA	PDH	11.429215509496617
TCA1_v20	Alanine	20.48246715832412	21.370805334005617	28042	TCA	PDH	20.898843375519156
TCA2_v21	Ribose	5.143745247117063	7.746248205561087	16845	TCA	CS	6.439603903969396
TCA2_v21	Glucose	3.5353162223188193	4.197874478821914	16845	TCA	CS	3.8807849251552216
TCA2_v21	Glycerol	1.9217019607569745	2.897000426102507	16845	TCA	CS	2.3437754865344758
TCA2_v21	Glutamate	0.4207135600380045	0.6676044991000483	16845	TCA	CS	0.5584439586488145
TCA2_v21	Succinate	7.486144792210613	7.749987509375074	16845	TCA	CS	7.607554188604585
TCA2_v21	Alanine	11.318511510798531	12.21087947541992	16845	TCA	CS	11.746325546199357
TCA4_v23	Ribose	3.9008502848655677	6.3818169411626045	25588	TCA	ICDyr	5.093400034238517
TCA4_v23	Glucose	3.483732758218327	4.148927241079313	25588	TCA	ICDyr	3.818225935400673
TCA4_v23	Glycerol	1.880040351415306	2.878924497541109	25588	TCA	ICDyr	2.3128611747877987
TCA4_v23	Glutamate	0.04045129756733968	0.5140837367171787	25588	TCA	ICDyr	0.2989450328175262
TCA4_v23	Succinate	6.912589037061999	7.567012732972797	25588	TCA	ICDyr	7.1375197158772155
TCA4_v23	Alanine	10.804451355112795	12.12401113535094	25588	TCA	ICDyr	11.469020124166738
TCA9_v28	Ribose	2.9342410038618243	5.896542351194427	21432	TCA	MDH	4.334179912495305
TCA9_v28	Glucose	-0.12995117821692492	2.276314969457614	21432	TCA	MDH	1.2437408057973058
TCA9_v28	Glycerol	-1.218071133448373	-0.5716866465595071	21432	TCA	MDH	-0.9112721793344583
TCA9_v28	Glutamate	-0.20851944742724735	14.3560287467588	21432	TCA	MDH	7.542549234341725
TCA9_v28	Succinate	11.37917241477298	29.77052959299816	21432	TCA	MDH	22.43016614607519
TCA9_v28	Alanine	7.154445503587915	11.020810363467207	21432	TCA	MDH	8.564082343026016
PPP1_v9	Ribose	11.923610362646503	43.86006368153975	15841	PPP	G6PDH2r	25.977991791440118
PPP1_v9	Ribose	11.923610362646503	43.86006368153975	12556	PPP	PGL	25.977991791440118
PPP1_v9	Glucose	3.849045159883562	4.362087496939629	15841	PPP	G6PDH2r	4.029326001439763
PPP1_v9	Glucose	3.849045159883562	4.362087496939629	12556	PPP	PGL	4.029326001439763
PPP1_v9	Glycerol	0.5086248381687306	6.548665441375606	15841	PPP	G6PDH2r	1.7863487092734815
PPP1_v9	Glycerol	0.5086248381687306	6.548665441375606	12556	PPP	PGL	1.7863487092734815
PPP1_v9	Glutamate	11.54585530718359	14.26191085499505	15841	PPP	G6PDH2r	12.655083318816441
