rhea,kegg
10448,R07367
10449,R07367
10450,R07367
10451,R07367
10452,R11814
10453,R11814
10454,R11814
10455,R11814
10456,R01556
10457,R01556
10458,R01556
10459,R01556
10460,R04565
10461,R04565
10462,R04565
10463,R04565
10464,R02333
10465,R02333
10466,R02333
10467,R02333
10468,R01621
10469,R01621
10470,R01621
10471,R01621
10472,R01355
10473,R01355
10474,R01355
10475,R01355
10480,R03266
10481,R03266
10482,R03266
10483,R03266
10484,R03579
10485,R03579
10486,R03579
10487,R03579
10488,R02301
10489,R02301
10490,R02301
10491,R02301
10492,R06871
10493,R06871
10494,R06871
10495,R06871
10500,R01180
10501,R01180
10502,R01180
10503,R01180
10508,R01641
10509,R01641
10510,R01641
10511,R01641
10516,R05315
10517,R05315
10518,R05315
10519,R05315
10520,R04469
10521,R04469
10522,R04469
10523,R04469
10524,R00272
10525,R00272
10526,R00272
10527,R00272
10528,R04702
10529,R04702
10530,R04702
10531,R04702
10532,R02722
10533,R02722
10534,R02722
10535,R02722
10536,R03518
10537,R03518
10538,R03518
10539,R03518
10540,R03504
10541,R03504
10542,R03504
10543,R03504
10548,R00559
10549,R00559
10550,R00559
10551,R00559
10552,R00302
10553,R00302
10554,R00302
10555,R00302
10556,R05465
10557,R05465
10558,R05465
10559,R05465
10560,R02280
10561,R02280
10562,R02280
10563,R02280
10564,R01144
10565,R01144
10566,R01144
10567,R01144
10568,R03589
10569,R03589
10570,R03589
10571,R03589
10572,R03031
10573,R03031
10574,R03031
10575,R03031
10576,R03375
10577,R03375
10578,R03375
10579,R03375
10580,R04241
10581,R04241
10582,R04241
10583,R04241
10584,R06568
10585,R06568
10586,R06568
10587,R06568
10592,R07369
10593,R07369
10594,R07369
10595,R07369
10596,R02584
10597,R02584
10598,R02584
10599,R02584
10600,R02266
10601,R02266
10602,R02266
10603,R02266
10604,R01312
10605,R01312
10606,R01312
10607,R01312
10608,R02253
10609,R02253
10610,R02253
10611,R02253
10612,R06016
10613,R06016
10614,R06016
10615,R06016
10616,R06532
10617,R06532
10618,R06532
10619,R06532
10620,R02506
10621,R02506
10622,R02506
10623,R02506
10628,R07285
10629,R07285
10630,R07285
10631,R07285
22096,R07282
22097,R07282
22098,R07282
22099,R07282
10632,R02455
10633,R02455
10634,R02455
10635,R02455
10636,R02456
10637,R02456
10638,R02456
10639,R02456
10644,R04277
10645,R04277
10646,R04277
10647,R04277
10648,R03281
10649,R03281
10650,R03281
10651,R03281
10652,R02039
10653,R02039
10654,R02039
10655,R02039
49832,R00631
49833,R00631
49834,R00631
49835,R00631
10656,R01883
10657,R01883
10658,R01883
10659,R01883
10660,R05175
10661,R05175
10662,R05175
10663,R05175
10664,R03945
10665,R03945
10666,R03945
10667,R03945
10736,R00623
10737,R00623
10738,R00623
10739,R00623
10668,R03771
10669,R03771
10670,R03771
10671,R03771
10672,R08765
10673,R08765
10674,R08765
10675,R08765
10676,R04001
10677,R04001
10678,R04001
10679,R04001
10680,R01255
10681,R01255
10682,R01255
10683,R01255
18317,R01265
18318,R01265
18319,R01265
18320,R01265
10684,R02585
10685,R02585
10686,R02585
10687,R02585
10688,R02228
10689,R02228
10690,R02228
10691,R02228
10692,R07353
