ec,rhea
3.6.1.23,10250
3.6.1.23,10251
3.6.1.9,10248
3.6.1.9,10249
3.6.1.9,10250
3.6.1.9,10251
3.6.1.9,44644
3.6.1.9,44645
3.6.1.9,44646
3.6.1.9,44647
3.6.1.9,14245
3.6.1.9,14246
3.6.1.9,14247
3.6.1.9,14248
3.6.1.9,23996
3.6.1.9,23997
3.6.1.9,23998
3.6.1.9,23999
3.6.1.9,22636
3.6.1.9,22637
3.6.1.9,22638
3.6.1.9,22639
3.6.1.9,27762
3.6.1.9,27763
3.6.1.9,27764
3.6.1.9,27765
3.6.1.9,28334
3.6.1.9,28335
3.6.1.9,28336
3.6.1.9,28337
3.6.1.9,28342
3.6.1.9,28343
3.6.1.9,28344
3.6.1.9,28345
3.6.1.9,28362
3.6.1.9,28363
3.6.1.9,28364
3.6.1.9,28365
3.6.1.9,28534
3.6.1.9,28535
3.6.1.9,28536
3.6.1.9,28537
3.6.1.9,28610
3.6.1.9,28611
3.6.1.9,28612
3.6.1.9,28613
3.6.1.9,29391
3.6.1.9,29392
3.6.1.9,29393
3.6.1.9,29394
3.6.1.9,29395
3.6.1.9,29396
3.6.1.9,29397
3.6.1.9,29398
3.6.1.9,29399
3.6.1.9,29400
3.6.1.9,29401
3.6.1.9,29402
2.5.1.65,10252
2.5.1.65,10253
2.5.1.65,10254
2.5.1.65,10255
2.7.9.5,10256
2.7.9.5,10257
2.7.9.5,10258
2.7.9.5,10259
7.2.2.14,10260
7.2.2.14,10261
7.2.2.14,10262
7.2.2.14,10263
5.1.3.3,10264
5.1.3.3,10265
5.1.3.3,10266
5.1.3.3,10267
5.1.3.3,21228
5.1.3.3,21229
5.1.3.3,21230
5.1.3.3,21231
5.1.3.3,28675
5.1.3.3,28676
5.1.3.3,28677
5.1.3.3,28678
5.1.3.3,63332
5.1.3.3,63333
5.1.3.3,63334
5.1.3.3,63335
5.1.3.3,63336
5.1.3.3,63337
5.1.3.3,63338
5.1.3.3,63339
4.1.2.20,10268
4.1.2.20,10269
4.1.2.20,10270
4.1.2.20,10271
2.7.1.107,10272
2.7.1.107,10273
2.7.1.107,10274
2.7.1.107,10275
2.7.4.24,10276
2.7.4.24,10277
2.7.4.24,10278
2.7.4.24,10279
2.7.4.24,37459
2.7.4.24,37460
2.7.4.24,37461
2.7.4.24,37462
2.1.1.160,10280
2.1.1.160,10281
2.1.1.160,10282
2.1.1.160,10283
2.1.1.160,20944
2.1.1.160,20945
2.1.1.160,20946
2.1.1.160,20947
2.1.1.160,24604
2.1.1.160,24605
2.1.1.160,24606
2.1.1.160,24607
5.4.3.7,10284
5.4.3.7,10285
5.4.3.7,10286
5.4.3.7,10287
3.1.1.65,10288
3.1.1.65,10289
3.1.1.65,10290
3.1.1.65,10291
2.3.1.4,10292
2.3.1.4,10293
2.3.1.4,10294
2.3.1.4,10295
1.2.1.13,10296
1.2.1.13,10297
1.2.1.13,10298
1.2.1.13,10299
1.2.1.59,10296
1.2.1.59,10297
1.2.1.59,10298
1.2.1.59,10299
1.2.1.59,10300
1.2.1.59,10301
1.2.1.59,10302
1.2.1.59,10303
1.2.1.12,10300
1.2.1.12,10301
1.2.1.12,10302
1.2.1.12,10303
2.3.1.40,10304
2.3.1.40,10305
2.3.1.40,10306
2.3.1.40,10307
1.14.12.15,10312
1.14.12.15,10313
1.14.12.15,10314
1.14.12.15,10315
1.14.11.6,10316
1.14.11.6,10317
1.14.11.6,10318
1.14.11.6,10319
4.2.1.77,10320
4.2.1.77,10321
4.2.1.77,10322
4.2.1.77,10323
1.1.1.185,10324
1.1.1.185,10325
1.1.1.185,10326
1.1.1.185,10327
1.1.1.185,10328
1.1.1.185,10329
1.1.1.185,10330
1.1.1.185,10331
2.3.1.62,10332
2.3.1.62,10333
2.3.1.62,10334
2.3.1.62,10335
4.2.1.3,10336
4.2.1.3,10337
4.2.1.3,10338
4.2.1.3,10339
4.2.3.21,10340
4.2.3.21,10341
4.2.3.21,10342
4.2.3.21,10343
2.3.1.25,10344
2.3.1.25,10345
2.3.1.25,10346
2.3.1.25,10347
3.5.2.9,10348
3.5.2.9,10349
3.5.2.9,10350
3.5.2.9,10351
3.5.1.76,10352
3.5.1.76,10353
3.5.1.76,10354
3.5.1.76,10355
3.5.1.76,23952
3.5.1.76,23953
3.5.1.76,23954
3.5.1.76,23955
1.1.1.152,10356
1.1.1.152,10357
1.1.1.152,10358
1.1.1.152,10359
3.1.1.35,10360
3.1.1.35,10361
3.1.1.35,10362
3.1.1.35,10363
2.3.3.4,10364
2.3.3.4,10365
2.3.3.4,10366
2.3.3.4,10367
2.6.1.59,10368
2.6.1.59,10369
2.6.1.59,10370
2.6.1.59,10371
1.2.1.58,10372
1.2.1.58,10373
1.2.1.58,10374
1.2.1.58,10375
7.2.2.9,10376
7.2.2.9,10377
7.2.2.9,10378
7.2.2.9,10379
2.4.2.10,10380
2.4.2.10,10381
2.4.2.10,10382
2.4.2.10,10383
4.1.1.32,10388
4.1.1.32,10389
4.1.1.32,10390
4.1.1.32,10391
4.1.1.32,64864
4.1.1.32,64865
4.1.1.32,64866
4.1.1.32,64867
1.1.1.195,10392
1.1.1.195,10393
1.1.1.195,10394
1.1.1.195,10395
1.1.1.195,22444
1.1.1.195,22445
1.1.1.195,22446
1.1.1.195,22447
1.1.1.195,45704
1.1.1.195,45705
1.1.1.195,45706
1.1.1.195,45707
1.1.1.195,45724
1.1.1.195,45725
1.1.1.195,45726
1.1.1.195,45727
1.4.1.5,10396
1.4.1.5,10397
1.4.1.5,10398
1.4.1.5,10399
2.6.1.15,10400
2.6.1.15,10401
2.6.1.15,10402
2.6.1.15,10403
2.3.1.176,10408
2.3.1.176,10409
2.3.1.176,10410
2.3.1.176,10411
2.3.1.176,16865
2.3.1.176,16866
2.3.1.176,16867
2.3.1.176,16868
3.6.1.13,10412
3.6.1.13,10413
3.6.1.13,10414
3.6.1.13,10415
3.6.1.53,10412
3.6.1.53,10413
3.6.1.53,10414
3.6.1.53,10415
3.6.1.53,32487
3.6.1.53,32488
3.6.1.53,32489
3.6.1.53,32490
4.1.99.11,10416
4.1.99.11,10417
4.1.99.11,10418
4.1.99.11,10419
2.6.1.77,10420
2.6.1.77,10421
2.6.1.77,10422
2.6.1.77,10423
2.6.1.77,58056
2.6.1.77,58057
2.6.1.77,58058
2.6.1.77,58059
3.5.1.32,10424
3.5.1.32,10425
3.5.1.32,10426
3.5.1.32,10427
1.13.11.31,10428
1.13.11.31,10429
1.13.11.31,10430
1.13.11.31,10431
3.5.1.29,10432
3.5.1.29,10433
3.5.1.29,10434
3.5.1.29,10435
4.2.1.106,10436
4.2.1.106,10437
4.2.1.106,10438
4.2.1.106,10439
3.1.1.17,10440
3.1.1.17,10441
3.1.1.17,10442
3.1.1.17,10443
2.1.1.291,10444
2.1.1.291,10445
2.1.1.291,10446
2.1.1.291,10447
2.1.1.291,38907
2.1.1.291,38908
2.1.1.291,38909
2.1.1.291,38910
1.14.20.5,10448
1.14.20.5,10449
1.14.20.5,10450
1.14.20.5,10451
1.14.20.5,32755
1.14.20.5,32756
1.14.20.5,32757
1.14.20.5,32758
2.3.1.79,10456
2.3.1.79,10457
2.3.1.79,10458
2.3.1.79,10459
5.3.3.9,10460
5.3.3.9,10461
5.3.3.9,10462
5.3.3.9,10463
3.5.1.41,10464
3.5.1.41,10465
3.5.1.41,10466
3.5.1.41,10467
4.1.2.9,10468
4.1.2.9,10469
4.1.2.9,10470
4.1.2.9,10471
4.1.3.32,10472
4.1.3.32,10473
4.1.3.32,10474
4.1.3.32,10475
3.5.1.71,10484
3.5.1.71,10485
3.5.1.71,10486
3.5.1.71,10487
6.3.3.2,10488
6.3.3.2,10489
6.3.3.2,10490
6.3.3.2,10491
3.1.3.75,10492
3.1.3.75,10493
3.1.3.75,10494
3.1.3.75,10495
3.1.3.75,16089
3.1.3.75,16090
3.1.3.75,16091
3.1.3.75,16092
2.3.3.7,10500
2.3.3.7,10501
2.3.3.7,10502
2.3.3.7,10503
2.2.1.1,10508
2.2.1.1,10509
2.2.1.1,10510
2.2.1.1,10511
2.2.1.1,27626
2.2.1.1,27627
2.2.1.1,27628
