bigg_id,rhea
ACOAD5f,31042
ACOAD5f,47296
ACOAD5f,47297
ACOAD5f,47298
ACOAD5f,47299
ACOAD7f,30747
ACOAD7f,30748
ACOAD7f,30749
ACOAD7f,30750
ACOAD7f,43448
ACOAD7f,43449
ACOAD7f,43450
ACOAD7f,43451
ACOAD8f,40843
ACOAD8f,40844
ACOAD8f,40845
ACOAD8f,40846
ACOAD8f,47240
ACOAD8f,47241
ACOAD8f,47242
ACOAD8f,47243
ACODA,15941
ACODA,15942
ACODA,15943
ACODA,15944
ACONIs,17265
ACONIs,17266
ACONIs,17267
ACONIs,17268
ACONMT,14969
ACONMT,14970
ACONMT,14971
ACONMT,14972
ACOTA,18049
ACOTA,18050
ACOTA,18051
ACOTA,18052
ACSERtpp,29659
ACSERtpp,29660
ACSERtpp,29661
ACSERtpp,29662
ACtex,27814
ACtex,27815
ACtex,27816
ACtex,27817
ADCL,16201
ADCL,16202
ADCL,16203
ADCL,16204
ADCS,11672
ADCS,11673
ADCS,11674
ADCS,11675
ADD,23688
ADD,23689
ADD,23690
ADD,23691
ADEt2rpp,28719
ADEt2rpp,28720
ADEt2rpp,28721
ADEt2rpp,28722
ADK3,29863
ADK3,29864
ADK3,29865
ADK3,29866
ADNCYC,15389
ADNCYC,15390
ADNCYC,15391
ADNCYC,15392
ADNK1,20824
ADNK1,20825
ADNK1,20826
ADNK1,20827
ADNUC,18669
ADNUC,18670
ADNUC,18671
ADNUC,18672
ADNt2pp,29987
ADNt2pp,29988
ADNt2pp,29989
ADNt2pp,29990
ADPT,16609
ADPT,16610
ADPT,16611
ADPT,16612
ADSK,24152
ADSK,24153
ADSK,24154
ADSK,24155
ADSS,15753
ADSS,15754
ADSS,15755
ADSS,15756
AGMT,13929
AGMT,13930
AGMT,13931
AGMT,13932
AIRC2,19317
AIRC2,19318
AIRC2,19319
AIRC2,19320
ALAALAr,11224
ALAALAr,11225
ALAALAr,11226
ALAALAr,11227
ALATA_D2,28562
ALATA_D2,28563
ALATA_D2,28564
ALATA_D2,28565
ALATA_L,19453
ALATA_L,19454
ALATA_L,19455
ALATA_L,19456
ALATA_L2,30023
ALATA_L2,30024
ALATA_L2,30025
ALATA_L2,30026
ALAt2pp,29443
ALAt2pp,29444
ALAt2pp,29445
ALAt2pp,29446
ALCD2x,25290
ALCD2x,25291
ALCD2x,25292
ALCD2x,25293
ALLTAMH,32279
ALLTAMH,32280
ALLTAMH,32281
ALLTAMH,32282
ALTRH,15957
ALTRH,15958
ALTRH,15959
ALTRH,15960
AMANAPEr,25257
AMANAPEr,25258
AMANAPEr,25259
AMANAPEr,25260
AMANK,25253
AMANK,25254
AMANK,25255
AMANK,25256
AMAOTr,16861
AMAOTr,16862
AMAOTr,16863
AMAOTr,16864
ANPRT,11768
ANPRT,11769
ANPRT,11770
ANPRT,11771
AP4AS,34935
AP4AS,34936
AP4AS,34937
AP4AS,34938
AP5AH,30527
AP5AH,30528
AP5AH,30529
AP5AH,30530
ARGAGMt7pp,29651
ARGAGMt7pp,29652
ARGAGMt7pp,29653
ARGAGMt7pp,29654
ARGDC,17641
ARGDC,17642
ARGDC,17643
ARGDC,17644
ARGDCpp,17641
ARGDCpp,17642
ARGDCpp,17643
ARGDCpp,17644
ARGSS,10932
ARGSS,10933
ARGSS,10934
ARGSS,10935
ARGtex,32143
ARGtex,32144
ARGtex,32145
ARGtex,32146
ASAD,24284
ASAD,24285
ASAD,24286
ASAD,24287
ASCBPL,28803
ASCBPL,28804
ASCBPL,28805
ASCBPL,28806
ASNN,21016
ASNN,21017
ASNN,21018
ASNN,21019
ASNS2,11372
ASNS2,11373
ASNS2,11374
ASNS2,11375
ASPO3,28683
ASPO3,28684
ASPO3,28685
ASPO3,28686
ASPO4,29191
ASPO4,29192
ASPO4,29193
ASPO4,29194
ASPT,16601
ASPT,16602
ASPT,16603
ASPT,16604
ASPTA,21824
ASPTA,21825
ASPTA,21826
ASPTA,21827
ASPabcpp,29039
ASPabcpp,29040
ASPabcpp,29041
ASPabcpp,29042
ASPt2_2pp,29287
ASPt2_2pp,29288
ASPt2_2pp,29289
ASPt2_2pp,29290
AST,15185
AST,15186
AST,15187
AST,15188
ATHRDHr,30055
ATHRDHr,30056
ATHRDHr,30057
ATHRDHr,30058
ATPHs,13037
ATPHs,13038
ATPHs,13039
ATPHs,13040
ATPM,13065
ATPM,13066
ATPM,13067
ATPM,13068
BALAt2pp,29459
BALAt2pp,29460
BALAt2pp,29461
BALAt2pp,29462
BETALDHx,15305
BETALDHx,15306
BETALDHx,15307
BETALDHx,15308
CA2tex,29671
CA2tex,29672
CA2tex,29673
CA2tex,29674
CBMKr,10152
CBMKr,10153
CBMKr,10154
CBMKr,10155
CBPS,18633
CBPS,18634
CBPS,18635
CBPS,18636
CCGS,27982
CCGS,27983
CCGS,27984
CCGS,27985
CD2abcpp,12132
CD2abcpp,12133
CD2abcpp,12134
CD2abcpp,12135
CD2t3pp,28739
CD2t3pp,28740
CD2t3pp,28741
CD2t3pp,28742
CDGR,13409
CDGR,13410
CDGR,13411
CDGR,13412
CDPMEK,18437
CDPMEK,18438
CDPMEK,18439
CDPMEK,18440
CHLt2pp,28843
CHLt2pp,28844
CHLt2pp,28845
CHLt2pp,28846
CHORM,13897
CHORM,13898
CHORM,13899
CHORM,13900
CHRPL,16505
CHRPL,16506
CHRPL,16507
CHRPL,16508
CINNDO,25058
CINNDO,25059
CINNDO,25060
CINNDO,25061
CITL,10760
CITL,10761
CITL,10762
CITL,10763
CITtex,33183
CITtex,33184
CITtex,33185
CITtex,33186
CLt3_2pp,29567
CLt3_2pp,29568
CLt3_2pp,29569
CLt3_2pp,29570
CLtex,29823
CLtex,29824
CLtex,29825
CLtex,29826
COBALT2abcpp,32779
COBALT2abcpp,32780
COBALT2abcpp,32781
COBALT2abcpp,32782
CRNBTCT,28418
CRNBTCT,28419
CRNBTCT,28420
CRNBTCT,28421
CRNDCAL2,30543
CRNDCAL2,30544
CRNDCAL2,30545
CRNDCAL2,30546
CRNtex,34959
CRNtex,34960
CRNtex,34961
CRNtex,34962
CS,16845
CS,16846
CS,16847
CS,16848
CSND,20605
CSND,20606
CSND,20607
CSND,20608
CSNt2pp,29935
CSNt2pp,29936
CSNt2pp,29937
CSNt2pp,29938
CU1Opp,30083
CU1Opp,30084
CU1Opp,30085
CU1Opp,30086
CU2tex,28703
CU2tex,28704
CU2tex,28705
CU2tex,28706
CU2tpp,28703
CU2tpp,28704
CU2tpp,28705
CU2tpp,28706
CYANST,16881
CYANST,16882
CYANST,16883
CYANST,16884
CYNTAH,11120
CYNTAH,11121
CYNTAH,11122
CYNTAH,11123
CYSTL,13965
CYSTL,13966
CYSTL,13967
CYSTL,13968
CYSabc2pp,29783
CYSabc2pp,29784
CYSabc2pp,29785
CYSabc2pp,29786
CYSabc2pp,32795
CYSabc2pp,32796
CYSabc2pp,32797
CYSabc2pp,32798
CYStpp,29655
CYStpp,29656
CYStpp,29657
CYStpp,29658
CYTD,16069
CYTD,16070
CYTD,16071
CYTD,16072
CYTDt2pp,29983
CYTDt2pp,29984
CYTDt2pp,29985
CYTDt2pp,29986
DADNt2pp,29979
DADNt2pp,29980
DADNt2pp,29981
DADNt2pp,29982
DALAt2pp,28903
DALAt2pp,28904
DALAt2pp,28905
DALAt2pp,28906
DAPDC,15101
DAPDC,15102
DAPDC,15103
DAPDC,15104
DCTPD,22680
DCTPD,22681
DCTPD,22682
DCTPD,22683
DCYTD,13433
DCYTD,13434
DCYTD,13435
DCYTD,13436
DCYTt2pp,29975
DCYTt2pp,29976
DCYTt2pp,29977
DCYTt2pp,29978
DDGLCNt2rpp,29943
DDGLCNt2rpp,29944
DDGLCNt2rpp,29945
DDGLCNt2rpp,29946
DDGLK,14797
DDGLK,14798
DDGLK,14799
DDGLK,14800
DGK1,12697
DGK1,12698
DGK1,12699
DGK1,12700
DHACOAH,34863
DHACOAH,34864
DHACOAH,34865
DHACOAH,34866
DHAD1,24809
DHAD1,24810
DHAD1,24811
DHAD1,24812
DHBD,23824
DHBD,23825
DHBD,23826
DHBD,23827
DHCIND,25066
DHCIND,25067
DHCIND,25068
DHCIND,25069
DHFR,15009
DHFR,15010
DHFR,15011
DHFR,15012
DHFS,23584
DHFS,23585
DHFS,23586
DHFS,23587
DHNAOT4,30099
DHNAOT4,30100
DHNAOT4,30101
DHNAOT4,30102
DHORD2,28687
DHORD2,28688
DHORD2,28689
DHORD2,28690
DHPPDA2,21868
DHPPDA2,21869
DHPPDA2,21870
DHPPDA2,21871
DHPTDNR,17865
DHPTDNR,17866
DHPTDNR,17867
DHPTDNR,17868
DHQS,21968
DHQS,21969
DHQS,21970
DHQS,21971
DKGLCNR2x,30103
DKGLCNR2x,30104
DKGLCNR2x,30105
DKGLCNR2x,30106
DKGLCNR2y,27634
DKGLCNR2y,27635
DKGLCNR2y,27636
DKGLCNR2y,27637
DMATT,22408
DMATT,22409
DMATT,22410
DMATT,22411
DMSOR1,29203
DMSOR1,29204
DMSOR1,29205
DMSOR1,29206
DMSOR2,30587
DMSOR2,30588
DMSOR2,30589
DMSOR2,30590
DMSOtex,29699
DMSOtex,29700
DMSOtex,29701
DMSOtex,29702
DPR,16233
DPR,16234
DPR,16235
DPR,16236
DSERDHr,30107
DSERDHr,30108
DSERDHr,30109
DSERDHr,30110
DTMPK,13517
DTMPK,13518
DTMPK,13519
DTMPK,13520
DURIK1,28206
DURIK1,28207
DURIK1,28208
DURIK1,28209
DURIt2pp,29967
DURIt2pp,29968
DURIt2pp,29969
DURIt2pp,29970
DUTPDP,10248
DUTPDP,10249
DUTPDP,10250
DUTPDP,10251
DXPRIi,13717
DXPRIi,13718
DXPRIi,13719
DXPRIi,13720
E4PD,12056
E4PD,12057
E4PD,12058
E4PD,12059
ECOAH1,26558
ECOAH1,26559
ECOAH1,26560
ECOAH1,26561
ECOAH2,30547
ECOAH2,30548
ECOAH2,30549
ECOAH2,30550
ECOAH4,31191
ECOAH4,31192
ECOAH4,31193
ECOAH4,31194
ECOAH6,31171
ECOAH6,31172
ECOAH6,31173
ECOAH6,31174
ENTERES,28018
ENTERES,28019
ENTERES,28020
ENTERES,28021
ENTERES2,30111
ENTERES2,30112
ENTERES2,30113
ENTERES2,30114
ETHAAL,15313
ETHAAL,15314
ETHAAL,15315
ETHAAL,15316
ETHAtex,32747
ETHAtex,32748
ETHAtex,32749
ETHAtex,32750
ETOHtex,35267
ETOHtex,35268
ETOHtex,35269
ETOHtex,35270
ETOHtrpp,35267
ETOHtrpp,35268
ETOHtrpp,35269
ETOHtrpp,35270
F6PA,28002
F6PA,28003
F6PA,28004
F6PA,28005
FACOAE160,16645
FACOAE160,16646
FACOAE160,16647
FACOAE160,16648
FACOAE180,30139
FACOAE180,30140
FACOAE180,30141
FACOAE180,30142
FACOAE80,30143
FACOAE80,30144
FACOAE80,30145
FACOAE80,30146
FACOAL180t2pp,51720
FACOAL180t2pp,51721
FACOAL180t2pp,51722
FACOAL180t2pp,51723
FADRx2,30151
FADRx2,30152
FADRx2,30153
FADRx2,30154
FALDH2,19985
FALDH2,19986
FALDH2,19987
FALDH2,19988
FBA,14729
FBA,14730
FBA,14731
FBA,14732
FBP,11064
FBP,11065
