aliases,id
CARBAMATE-KINASE-RXN,rxn00114
R00152,rxn00115
R00155,rxn00116
NUCLEOSIDE-DIPHOSPHATASE-RXN; RXN-12197,rxn00116
R00156,rxn00117
NUCLEOSIDE-DIP-KIN-RXN; UDPKIN-RXN,rxn00117
R00157,rxn00118
R00158,rxn00119
2.7.4.22-RXN; RXN-12002,rxn00119
R00159,rxn00120
NUCLEOSIDE-TRIPHOSPHATASE-RXN; RXN-12196,rxn00120
R00160,rxn00121
FAD-PYROPHOSPHATASE-RXN,rxn00121
R00161,rxn00122
FADSYN-RXN,rxn00122
R00173,rxn00123
3.1.3.74-RXN,rxn00123
R00174,rxn00124
PYRIDOXKIN-RXN,rxn00124
R00175,rxn00125
ADENOSYLMETHIONINE-HYDROLASE-RXN,rxn00125
R00177,rxn00126
S-ADENMETSYN-RXN,rxn00126
R00178,rxn00127
SAMDECARB-RXN,rxn00127
R00179,rxn00128
4.4.1.14-RXN,rxn00128
R00180,rxn00129
ADENOSYLMETHIONINE-CYCLOTRANSFERASE-RXN,rxn00129
R00181,rxn00130
ADENOSINE-PHOSPHATE-DEAMINASE-RXN; AMP-DEAMINASE-RXN,rxn00130
R00182,rxn00131
AMP-NUCLEOSID-RXN,rxn00131
R00183,rxn00132
5-NUCLEOTID-RXN; AMP-DEPHOSPHORYLATION-RXN,rxn00132
R00184,rxn00133
RXN-12820,rxn00133
R00185,rxn00134
ADENOSINE-KINASE-RXN,rxn00134
R00187,rxn00136
BIS5-ADENOSYL-TRIPHOSPHATASE-RXN,rxn00136
R00188,rxn00137
325-BISPHOSPHATE-NUCLEOTIDASE-RXN,rxn00137
R00189,rxn00138
NAD-SYNTH-NH3-RXN,rxn00138
R00190,rxn00139
ADENPRIBOSYLTRAN-RXN,rxn00139
R00191,rxn00140
3.1.4.17-RXN; RXN0-5038,rxn00140
R00192,rxn00141
ADENOSYLHOMOCYSTEINASE-RXN,rxn00141
R00193,rxn00142
S-ADENOSYLHOMOCYSTEINE-DEAMINASE-RXN,rxn00142
R00194,rxn00143
ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN,rxn00143
R00195,rxn00144
R00196,rxn00145
R00197,rxn00146
R00199,rxn00147
PEPSYNTH-RXN,rxn00147
R00200,rxn00148
PEPDEPHOS-RXN,rxn00148
R00203,rxn00149
ALDEHYDE-DEHYDROGENASE-NADORNOP+-RXN; METHYL-GLYOXAL-DEHYDROG-RXN,rxn00149
R00205,rxn00150
ALDEHYDE-DEHYDROGENASE-NADORNOP+-RXN; RXN-8639,rxn00150
R00206,rxn00151
PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN,rxn00151
R00207,rxn00152
1.2.3.3-RXN,rxn00152
R00208,rxn00153
PHOSPHOENOLPYRUVATE-PHOSPHATASE-RXN,rxn00153
R00209,rxn00154
PYRUVDEH-RXN,rxn00154
R00210,rxn00155
PYRUVATE-DEHYDROGENASE-NADP+-RXN,rxn00155
R00211,rxn00156
PYRUVATE-OXIDASE-COA-ACETYLATING-RXN,rxn00156
R00212,rxn00157
PYRUVFORMLY-RXN,rxn00157
R00213,rxn00158
CARBAMOYL-SERINE-AMMONIA-LYASE-RXN,rxn00158
R00214,rxn00159
1.1.1.39-RXN; MALIC-NAD-RXN; RXN-19748,rxn00159
R00215,rxn00160
1.1.1.83-RXN,rxn00160
R00216,rxn00161
MALIC-NADP-RXN,rxn00161
R00217,rxn00162
OXALODECARB-RXN,rxn00162
R00218,rxn00163
4.1.1.78-RXN,rxn00163
R00219,rxn00164
R00220,rxn00165
4.3.1.17-RXN,rxn00165
R00221,rxn00166
DSERDEAM-RXN,rxn00166
R00224,rxn00168
RXN-6161,rxn00168
R00227,rxn00170
ACETYL-COA-HYDROLASE-RXN,rxn00170
R00228,rxn00171
ACETALD-DEHYDROG-RXN,rxn00171
R00229,rxn00172
ACETATE--COA-LIGASE-ADP-FORMING-RXN,rxn00172
R00230,rxn00173
PHOSACETYLTRANS-RXN,rxn00173
R00233,rxn00174
MALONYL-COA-DECARBOXYLASE-RXN,rxn00174
R00235,rxn00175
ACETATE--COA-LIGASE-RXN,rxn00175
R00236,rxn00176
R00237,rxn00177
CITRAMALYL-COA-LYASE-RXN,rxn00177
R00238,rxn00178
ACETYL-COA-ACETYLTRANSFER-RXN,rxn00178
R00239,rxn00179
GLUTKIN-RXN,rxn00179
R00241,rxn00181
GLUTAMATE-1-KINASE-RXN,rxn00181
R00243,rxn00182
GLUTAMATE-DEHYDROGENASE-NADP+-RXN; GLUTAMATE-DEHYDROGENASE-RXN,rxn00182
R00245,rxn00183
RXN-14116,rxn00183
R00248,rxn00184
GLUTAMATE-DEHYDROGENASE-NADP+-RXN; GLUTDEHYD-RXN,rxn00184
R00250,rxn00185
L-GLUTAMATE-OXIDASE-RXN,rxn00185
R00251,rxn00186
5-OXOPROLINASE-ATP-HYDROLYSING-RXN,rxn00186
R00253,rxn00187
GLUTAMINESYN-RXN,rxn00187
R00254,rxn00188
R00256,rxn00189
GLUTAMIN-RXN; GLUTAMINASE-ASPARAGIN-ASE-RXN,rxn00189
R00257,rxn00190
NAD-SYNTH-GLN-RXN,rxn00190
R00258,rxn00191
ALANINE-AMINOTRANSFERASE-RXN; RXN-13698,rxn00191
R00259,rxn00192
N-ACETYLTRANSFER-RXN,rxn00192
R00260,rxn00193
GLUTRACE-RXN,rxn00193
R00261,rxn00194
GLUTDECARBOX-RXN,rxn00194
R00262,rxn00195
METHYLASPARTATE-MUTASE-RXN,rxn00195
R00264,rxn00196
25-DIOXOVALERATE-DEHYDROGENASE-RXN; RXN-8775,rxn00196
R00265,rxn00197
OXOGLUTARATE-DEHYDROGENASE-NADP+-RXN,rxn00197
R00267,rxn00198
R00268,rxn00199
RXN-8642,rxn00199
R00269,rxn00200
RXN-13072,rxn00200
R00270,rxn00201
RXN-7594,rxn00201
R00271,rxn00202
HOMOCITRATE-SYNTHASE-RXN,rxn00202
R00272,rxn00203
RXN-7774,rxn00203
R00273,rxn00204
OXALATE-OXIDASE-RXN,rxn00204
R00274,rxn00205
GLUTATHIONE-PEROXIDASE-RXN,rxn00205
R00275,rxn00206
SUPEROX-DISMUT-RXN,rxn00206
R00276,rxn00207
R00277,rxn00208
PMPOXI-RXN,rxn00208
R00278,rxn00209
PNPOXI-RXN,rxn00209
R00279,rxn00210
D-GLUTAMATE-OXIDASE-RXN; D-GLUTAMATED-ASPARTATE-OXIDASE-RXN,rxn00210
R00286,rxn00211
UGD-RXN,rxn00211
R00287,rxn00212
R00289,rxn00213
GLUC1PURIDYLTRANS-RXN; RXN-11505; RXN-11988,rxn00213
R00291,rxn00214
UDPGLUCEPIM-RXN,rxn00214
R00293,rxn00215
UDP-GLUCOSE-46-DEHYDRATASE-RXN,rxn00215
R00299,rxn00216
GLUCOKIN-RXN,rxn00216
R00300,rxn00217
GLUCOSE-1-DEHYDROGENASE-NAD+-RXN,rxn00217
R00301,rxn00218
R00302,rxn00219
PYRANOSE-OXIDASE-RXN,rxn00219
R00303,rxn00220
RXN66-526,rxn00220
R00304,rxn00221
GLUCOSE-1-PHOSPHAT-RXN,rxn00221
R00306; R06104,rxn00222
R00307,rxn00223
R00310,rxn00224
PROTOHEMEFERROCHELAT-RXN; RXN0-6258,rxn00224
R00315,rxn00225
ACETATEKIN-RXN; RXN-7957,rxn00225
R00316,rxn00226
R00317,rxn00227
R00318,rxn00228
3.11.1.2-RXN,rxn00228
R00319,rxn00229
LACTATE-2-MONOOXYGENASE-RXN; RXN-19631,rxn00229
R00320,rxn00230
ACETATE-KINASE-PYROPHOSPHATE-RXN,rxn00230
R00321,rxn00231
RXN-14728,rxn00231
R00322,rxn00232
