rhea,rheaDir,metacyc
16113,16115,METACYC:1.6.99.12-RXN
16117,16118,METACYC:ACETOACETATE--COA-LIGASE-RXN
16125,16126,METACYC:FRUCTOKINASE-RXN
16137,16139,METACYC:1.1.1.285-RXN
16141,16143,METACYC:1.1.1.285-RXN
16145,16146,METACYC:1.14.18.2-RXN
16149,16151,METACYC:2.4.2.12-RXN
16153,16154,METACYC:AMINEOXID-RXN
16165,16166,METACYC:TRYPTOPHAN-2-MONOOXYGENASE-RXN
16169,16170,METACYC:GLUTAMINESYN-RXN
16173,16174,METACYC:S-NORLAUDANOSOLINE-SYNTHASE-RXN
16181,16182,METACYC:2.1.1.82-RXN
16185,16186,METACYC:ALDHDEHYDROG-RXN
16189,16190,METACYC:4-HYDROXYPHENYLPYRUVATE-DIOXYGENASE-RXN
16193,16194,METACYC:RXN-6263
16197,16199,METACYC:3-HYDROXYBUTYRYL-COA-DEHYDROGENASE-RXN
16201,16202,METACYC:ADCLY-RXN
16209,16210,METACYC:RXN-8768
16213,16214,METACYC:2.4.1.224-RXN
16217,16218,METACYC:L-ARABINONOLACTONASE-RXN
16221,16222,METACYC:2.4.1.223-RXN
16225,16226,METACYC:3.5.2.12-RXN
16229,16230,METACYC:CDPDIGLYSYN-RXN
16233,16235,METACYC:2-DEHYDROPANTOATE-REDUCT-RXN
16241,16242,METACYC:RXN-6222
16265,16266,METACYC:1.14.13.36-RXN
16277,16278,METACYC:INDOLE-3-ACETALDEHYDE-OXIDASE-RXN
16285,16287,METACYC:1.5.1.11-RXN
16297,16298,METACYC:RXN-24894
16301,16302,METACYC:NADNUCLEOSID-RXN
16305,16306,METACYC:HYDROXYMETHYLGLUTARYL-COA-HYDROLASE-RXN
16309,16310,METACYC:CHENODEOXYCHOLOYLTAURINE-HYDROLASE-RXN
16313,16314,METACYC:3.1.1.66-RXN
16317,16319,METACYC:INDANOL-DEHYDROGENASE-RXN
16321,16323,METACYC:INDANOL-DEHYDROGENASE-RXN
16333,16334,METACYC:2.7.7.61-RXN
16337,16338,METACYC:FLAVONOID-3-MONOOXYGENASE-RXN
16345,16346,METACYC:RXN-18811
16349,16350,METACYC:1.97.1.1-RXN
16365,16366,METACYC:TANNASE-RXN
16369,16371,METACYC:DLACTDEHYDROGNAD-RXN
16373,16374,METACYC:PANTOTHENATE-KIN-RXN
16377,16379,METACYC:1.3.7.4-RXN
16385,16386,METACYC:1.14.13.64-RXN
16389,16390,METACYC:1.14.13.64-RXN
16393,16394,METACYC:JUVENILE-HORMONE-ESTERASE-RXN
46912,46913,METACYC:JUVENILE-HORMONE-ESTERASE-RXN
16409,16411,METACYC:1.5.1.32-RXN
16417,16418,METACYC:PYRROLINECARBDEHYDROG-RXN
80651,80652,METACYC:1.2.7.5-RXN
16425,16426,METACYC:FORMALDEHYDE-DEHYDROGENASE-RXN
16429,16430,METACYC:UDP-NACMURALA-GLU-LIG-RXN
16437,16438,METACYC:GSHTRAN-RXN
16441,16442,METACYC:CHEBDEAMID-RXN
16445,16446,METACYC:RXN-3284
16473,16474,METACYC:CYCLOHEXANE-13-DIONE-HYDROLASE-RXN
16481,16482,METACYC:2.5.1.43-RXN
16485,16486,METACYC:6.3.4.8-RXN
16489,16490,METACYC:PRUNASIN-BETA-GLUCOSIDASE-RXN
16493,16494,METACYC:3.1.4.42-RXN
16497,16498,METACYC:RXN-11596
16501,16502,METACYC:3.1.4.44-RXN
16505,16506,METACYC:CHORPYRLY-RXN
16513,16514,METACYC:RXN-19631
16517,16519,METACYC:AMINOPROPDEHYDROG-RXN
16521,16523,METACYC:FERREDOXIN--NAD%2b-REDUCTASE-RXN
16525,16526,METACYC:DEHYDDEOXGALACTKIN-RXN
16529,16531,METACYC:SULFATE-ADENYLYLTRANSFERASE-ADP-RXN
16537,16538,METACYC:3.1.3.76-RXN
16541,16542,METACYC:RXN-7974
16557,16558,METACYC:AMINO-CARBOXYMUCONATE-SEMIALDEHYDE-RXN
16561,16562,METACYC:RXN-4961
16569,16570,METACYC:PROCOLLAGEN-LYSINE-5-DIOXYGENASE-RXN
16581,16582,METACYC:CYTOCHROME-C-PEROXIDASE-RXN
16585,16586,METACYC:RXN0-949
16589,16590,METACYC:GLUCOSIDE-3-DEHYDROGENASE-RXN
16593,16594,METACYC:2.1.1.88-RXN
16597,16598,METACYC:RXN-14325
16609,16611,METACYC:ADENPRIBOSYLTRAN-RXN
16613,16614,METACYC:ARYLAMINE-N-ACETYLTRANSFERASE-RXN
16617,16618,METACYC:LAMINARIBIOSE-PHOSPHORYLASE-RXN
16621,16622,METACYC:1.5.3.12-RXN
16633,16634,METACYC:QUEUOSINE-TRNA-RIBOSYLTRANSFERASE-RXN
16637,16638,METACYC:CHITIN-SYNTHASE-RXN
16641,16642,METACYC:FATTY-ACYL-ETHYL-ESTER-SYNTHASE-RXN
16645,16646,METACYC:PALMITOYL-COA-HYDROLASE-RXN
16649,16650,METACYC:1.14.13.71-RXN
16653,16655,METACYC:1.1.1.215-RXN
16657,16658,METACYC:INOSINE-NUCLEOSIDASE-RXN
16661,16662,METACYC:2.5.1.63-RXN
16665,16666,METACYC:HEPOXILIN-EPOXIDE-HYDROLASE-RXN
16677,16678,METACYC:RXN-11746
16685,16686,METACYC:DOLICHOL-O-ACYLTRANSFERASE-RXN
16689,16690,METACYC:RXN66-526
16709,16710,METACYC:TRYPTOPHAN-5-MONOOXYGENASE-RXN
16713,16714,METACYC:S-SUCCINYLGLUTATHIONE-HYDROLASE-RXN
16729,16730,METACYC:1.3.1.20-RXN
16737,16738,METACYC:TOLUENE-DIOXYGENASE-RXN
16745,16746,METACYC:1.14.99.20-RXN
16753,16754,METACYC:RXN-5284
16761,16762,METACYC:LINE-RXN
16773,16774,METACYC:GANGLIOSIDE-GALACTOSYLTRANSFERASE-RXN
16777,16778,METACYC:TRANS-RXN-2
16781,16782,METACYC:ACYL-COA-HYDROLASE-RXN
16785,16786,METACYC:TRNA-ADENINE-N6--METHYLTRANSFERASE-RXN
16789,16790,METACYC:S-2-HYDROXY-ACID-OXIDASE-RXN
16793,16794,METACYC:P-PANTOCYSDECARB-RXN
16805,16806,METACYC:1.14.11.26-RXN
16813,16814,METACYC:KYNURENINASE-RXN
16817,16819,METACYC:1.1.1.43-RXN
16821,16823,METACYC:1.1.1.43-RXN
16825,16826,METACYC:URIDINEKIN-RXN
16829,16830,METACYC:ALDEHYDE-OXIDASE-RXN
16833,16834,METACYC:GLUTATHIONE-PEROXIDASE-RXN
16845,16846,METACYC:CITSYN-RXN
16857,16858,METACYC:2.1.1.113-RXN
16865,16867,METACYC:2.3.1.176-RXN
16869,16870,METACYC:ARACHIDONATE-15-LIPOXYGENASE-RXN
16873,16874,METACYC:2.1.1.74-RXN
62372,62373,METACYC:2.1.1.74-RXN
16877,16878,METACYC:SULFINOALANINE-DECARBOXYLASE-RXN
16881,16882,METACYC:THIOSULFATE-SULFURTRANSFERASE-RXN
16893,16894,METACYC:PYRIDINE-N-METHYLTRANSFERASE-RXN
16917,16918,METACYC:1.14.13.10-RXN
16921,16922,METACYC:2.4.1.155-RXN
16925,16926,METACYC:CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN
16933,16934,METACYC:4.1.99.4-RXN
16941,16942,METACYC:ACETYLINDOXYL-OXIDASE-RXN
16945,16946,METACYC:GCVT-RXN
16957,16958,METACYC:35-CYCLIC-GMP-PHOSPHODIESTERASE-RXN
16961,16962,METACYC:RXN-19023
16965,16966,METACYC:RXN-5110
16969,16970,METACYC:DTDPDEHYDRHAMEPIM-RXN
16973,16974,METACYC:2-HYDROXYPYRIDINE-5-MONOOXYGENASE-RXN
16977,16979,METACYC:1.8.1.5-RXN
16981,16983,METACYC:MALEYLACETATE-REDUCTASE-RXN
16985,16987,METACYC:MALEYLACETATE-REDUCTASE-RXN
16989,16990,METACYC:RXN0-1001
16993,16994,METACYC:RXN-18798
17001,17002,METACYC:3.5.3.22-RXN
17005,17006,METACYC:GLUCURONOKINASE-RXN
17009,17010,METACYC:O-SUCCINYLBENZOATE-COA-LIG-RXN
17017,17019,METACYC:RXN0-1133
17029,17030,METACYC:ALLANTOINASE-RXN
17033,17034,METACYC:1.3.1.56-RXN
17041,17042,METACYC:ADENYLYLSULFATASE-RXN
17049,17050,METACYC:2.1.1.64-RXN
17061,17062,METACYC:PHENOL-2-MONOOXYGENASE-RXN
17081,17082,METACYC:2.1.1.146-RXN
17085,17086,METACYC:RXN-8757
17089,17090,METACYC:KDPGALDOL-RXN
17097,17098,METACYC:PHENYLPYRUVATE-TAUTOMERASE-RXN
17101,17102,METACYC:ACYLCARNITINE-HYDROLASE-RXN
17105,17106,METACYC:RXN-11475
34899,34900,METACYC:RXN-11475
17113,17114,METACYC:3.1.4.13-RXN
17117,17118,METACYC:GLUTAMATE--METHYLAMINE-LIGASE-RXN
17129,17130,METACYC:FGAMSYN-RXN
17137,17138,METACYC:THROMBOXANE-A-SYNTHASE-RXN
17145,17147,METACYC:RXN-4502
17149,17150,METACYC:UNSPECIFIC-MONOOXYGENASE-RXN
17153,17154,METACYC:CDP-GLUCOSE-46-DEHYDRATASE-RXN
17161,17162,METACYC:3.7.1.8-RXN
17181,17182,METACYC:ALKANAL-MONOOXYGENASE-FMN-LINKED-RXN
17185,17187,METACYC:GMP-REDUCT-RXN
17193,17194,METACYC:3.1.3.66-RXN
17197,17198,METACYC:1.2.3.13-RXN
17201,17202,METACYC:4.2.1.43-RXN
17205,17206,METACYC:2.8.2.27-RXN
17209,17210,METACYC:3.5.2.18-RXN
17221,17222,METACYC:DTDPGLUCDEHYDRAT-RXN
17225,17227,METACYC:6-HYDROXYNICOTINATE-REDUCTASE-RXN
17229,17230,METACYC:ALCOHOL-O-ACETYLTRANSFERASE-RXN
17241,17242,METACYC:ALPHA-AMINO-ACID-ESTERASE-RXN
17245,17246,METACYC:3-HYDROXYANTHRANILATE-OXIDASE-RXN
17249,17250,METACYC:RXN-15293
17257,17258,METACYC:1.14.13.75-RXN
17261,17262,METACYC:ARYLSULFAT-RXN
17269,17270,METACYC:MACROCIN-O-METHYLTRANSFERASE-RXN
17273,17274,METACYC:1.2.1.53-RXN
17277,17278,METACYC:PGLUCONDEHYDRAT-RXN
17285,17286,METACYC:RXN-16648
17289,17290,METACYC:3.1.3.46-RXN
17293,17294,METACYC:R321-RXN
17309,17310,METACYC:ARYLESTERASE-RXN
17313,17314,METACYC:HISTIDINE--TRNA-LIGASE-RXN
17321,17322,METACYC:RXN-16751
17325,17326,METACYC:TETHYDPICSUCC-RXN
17333,17334,METACYC:BETA-9-CYTOKININ-ALANINE-SYNTHASE-RXN
17337,17338,METACYC:CATECHOL-23-DIOXYGENASE-RXN
17345,17346,METACYC:S-METHYLMALONYL-COA-HYDROLASE-RXN
17349,17350,METACYC:RXN-19272
17357,17358,METACYC:THIOL-OXIDASE-RXN
17361,17362,METACYC:3.5.1.95-RXN
17365,17366,METACYC:3.6.3.35-RXN
17369,17370,METACYC:GLYCYRRHIZINATE-BETA-GLUCURONIDASE-RXN
17373,17374,METACYC:RXN-7947
17377,17378,METACYC:2.4.1.109-RXN
53396,53397,METACYC:2.4.1.109-RXN
17389,17390,METACYC:1.1.1.250-RXN
17393,17394,METACYC:MALEYLPYRUVATE-ISOMERASE-RXN
17397,17399,METACYC:3-OXOACYL-ACP-REDUCT-RXN
17405,17406,METACYC:2.1.1.105-RXN
17409,17410,METACYC:2.1.1.140-RXN
17417,17418,METACYC:N-ACETYLGLUCOSAMINE-KINASE-RXN
17437,17439,METACYC:RXN-9856
17453,17454,METACYC:GLYRIBONUCSYN-RXN
17457,17458,METACYC:RXN0-308
17461,17462,METACYC:SEDOHEPTULOSE-BISPHOSPHATASE-RXN
17465,17466,METACYC:QUERCITRINASE-RXN
17469,17470,METACYC:2.3.1.135-RXN
17477,17478,METACYC:2.1.1.132-RXN
17485,17486,METACYC:ARACHIDONATE-5-LIPOXYGENASE-RXN
17497,17498,METACYC:RXN-4761
17501,17502,METACYC:3.1.1.78-RXN
17505,17506,METACYC:3.5.1.60-RXN
17509,17510,METACYC:THIAMINASE-RXN
17521,17522,METACYC:6.3.5.7-RXN
17525,17526,METACYC:RXN-8930
17537,17538,METACYC:CARNITINAMIDASE-RXN
17541,17542,METACYC:ARYL-ALCOHOL-OXIDASE-RXN
17545,17546,METACYC:1.8.98.2-RXN
17549,17550,METACYC:2.1.1.16-RXN
17561,17562,METACYC:ACETYLCHOLINESTERASE-RXN
17565,17566,METACYC:MYO-INOSITOL-3-O-METHYLTRANSFERASE-RXN
17569,17571,METACYC:1.5.1.27-RXN
17573,17574,METACYC:DEMETHYLMACROCIN-O-METHYLTRANSFERASE-RXN
17577,17578,METACYC:5.1.3.20-RXN
17581,17582,METACYC:3.5.1.87-RXN
17589,17591,METACYC:ALANOPINE-DEHYDROGENASE-RXN
17605,17606,METACYC:6.3.2.25-RXN
17609,17610,METACYC:RXN-20179
17617,17619,METACYC:LEUKOTRIENE-C4-SYNTHASE-RXN
17625,17627,METACYC:D-LYSOPINE-DEHYDROGENASE-RXN
17633,17634,METACYC:BETA-GLUCURONID-RXN
17637,17638,METACYC:5.4.99.17-RXN
17649,17650,METACYC:RXN-9729
17653,17654,METACYC:FARNESYLTRANSTRANSFERASE-RXN
17665,17666,METACYC:RXN0-947
17669,17670,METACYC:MELILOTATE-3-MONOOXYGENASE-RXN
17673,17674,METACYC:QUERCETIN-3-O-METHYLTRANSFERASE-RXN
17677,17678,METACYC:3.5.1.66-RXN
17685,17686,METACYC:URACIL-5-CARBOXYLATE-DECARBOXYLASE-RXN
17689,17690,METACYC:2.8.2.34-RXN
17701,17702,METACYC:GERANOYL-COA-CARBOXYLASE-RXN
17709,17710,METACYC:2.5.1.39-RXN
17713,17714,METACYC:1.1.3.35-RXN
17717,17718,METACYC:2.7.1.151-RXN
17729,17730,METACYC:STEROL-O-ACYLTRANSFERASE-RXN
17737,17738,METACYC:RXN-11174
17741,17742,METACYC:RXN-11174
17737,17739,METACYC:SHIKIMATE-5-DEHYDROGENASE-RXN
17753,17754,METACYC:RIBOSYLHOMOCYSTEINASE-RXN
17765,17766,METACYC:BISPHOSPHOGLYCERATE-MUTASE-RXN
17769,17770,METACYC:RXN1F-357
17773,17774,METACYC:CYSTEINE--TRNA-LIGASE-RXN
17777,17778,METACYC:3.1.1.47-RXN
17781,17782,METACYC:FORMYLMETHIONINE-DEFORMYLASE-RXN
17785,17786,METACYC:GLUTDECARBOX-RXN
17789,17790,METACYC:2.1.1.116-RXN
17797,17798,METACYC:CELLULOSE-SYNTHASE-GDP-FORMING-RXN
17805,17806,METACYC:ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN
17809,17810,METACYC:RXN-MG-PROTOPORPHYRIN-METHYLESTER-SYN
17817,17818,METACYC:UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN
17825,17826,METACYC:GLUCOKIN-RXN
17833,17834,METACYC:2.1.1.97-RXN
17837,17838,METACYC:2-CARBOXY-D-ARABINITOL-1-PHOSPHATASE-RXN
17845,17847,METACYC:RIBOFLAVINSYNREDUC-RXN
17853,17854,METACYC:L-SORBOSE-OXIDASE-RXN
17857,17858,METACYC:RXN-7976
17865,17867,METACYC:1.5.1.34-RXN
17869,17871,METACYC:1.5.1.34-RXN
17873,17874,METACYC:3.6.3.33-RXN
17877,17878,METACYC:CATECHOL-O-METHYLTRANSFERASE-RXN
17881,17882,METACYC:N-SULFOGLUCOSAMINE-SULFOHYDROLASE-RXN
17885,17887,METACYC:R141-RXN
17897,17898,METACYC:RXN-1301
17901,17902,METACYC:RXN-12092
17905,17907,METACYC:GLYCERATE-DEHYDROGENASE-RXN
17913,17915,METACYC:NITRATE-REDUCTASE-NADH-RXN
17917,17918,METACYC:2.3.2.15-RXN
17921,17922,METACYC:D-ARABINITOL-4-DEHYDROGENASE-RXN
17925,17926,METACYC:RXN-8774
42664,42665,METACYC:RXN-8774
17933,17934,METACYC:RXN-6241
17937,17938,METACYC:METHGLYSYN-RXN
17945,17946,METACYC:--LIMONENE-6-MONOOXYGENASE-RXN
17949,17950,METACYC:1.13.11.47-RXN
17957,17959,METACYC:MALONATE-SEMIALDEHYDE-DEHYDRATASE-RXN
17961,17962,METACYC:RXN-8647
17969,17970,METACYC:6.3.2.7-RXN
17973,17975,METACYC:HYPOXANPRIBOSYLTRAN-RXN
17985,17986,METACYC:1.2.1.47-RXN
17989,17990,METACYC:PROTEIN-KINASE-RXN
46608,46609,METACYC:PROTEIN-KINASE-RXN
17993,17994,METACYC:HOMOGLUTATHIONE-SYNTHASE-RXN
17997,17998,METACYC:RXN-8760
18001,18002,METACYC:PHOSPHATIDYLINOSITOL-DEACYLASE-RXN
18017,18018,METACYC:4.1.1.74-RXN
18029,18030,METACYC:RXN-13202
18037,18038,METACYC:AGMATINE-DEIMINASE-RXN
18041,18043,METACYC:FERREDOXIN--NITRITE-REDUCTASE-RXN
18045,18046,METACYC:3.1.4.51-RXN
18053,18054,METACYC:RXN-8746
18057,18058,METACYC:WATASEMIA-LUCIFERIN-2-MONOOXYGENASE-RXN
18065,18066,METACYC:3.6.3.28-RXN
18073,18074,METACYC:DIHYDROOROTATE-DEHYDROGENASE-RXN
30187,30188,METACYC:DIHYDROOROTATE-DEHYDROGENASE-RXN
18073,18074,METACYC:RXN0-6491
28691,28692,METACYC:RXN0-6491
18081,18082,METACYC:PENTALENENE-SYNTHASE-RXN
18089,18090,METACYC:PROTEIN-ARGININE-DEIMINASE-RXN
18105,18106,METACYC:TRANS-RXN-194
18109,18110,METACYC:2.5.1.42-RXN
18113,18114,METACYC:NUCLEOSIDE-DIP-KIN-RXN
44640,44641,METACYC:NUCLEOSIDE-DIP-KIN-RXN
18117,18118,METACYC:MONOPHENOL-MONOOXYGENASE-RXN
18121,18122,METACYC:RXN-6763
18137,18139,METACYC:1.1.1.278-RXN
18145,18146,METACYC:KETOHEXOKINASE-RXN
18149,18150,METACYC:3.5.1.80-RXN
18157,18159,METACYC:PEPDEPHOS-RXN
18161,18163,METACYC:2.3.1.155-RXN
18165,18166,METACYC:1.14.12.18-RXN
18173,18174,METACYC:OCTOPAMINE-DEHYDRATASE-RXN
18177,18179,METACYC:TRANS-2-ENOYL-COA-REDUCTASE-NAD%2b-RXN
18181,18182,METACYC:MALSYN-RXN
18185,18186,METACYC:RXN-11786
18201,18202,METACYC:TYROSINE-3-MONOOXYGENASE-RXN
18205,18206,METACYC:PROGESTERONE-11-ALPHA-MONOOXYGENASE-RXN
18209,18210,METACYC:GERANYL-DIPHOSPHATE-CYCLASE-RXN
18221,18222,METACYC:ALKYLACETYLGLYCEROPHOSPHATASE-RXN
18237,18238,METACYC:GENTISATE-12-DIOXYGENASE-RXN
18245,18246,METACYC:DEPHOSPHOCOAKIN-RXN
18253,18254,METACYC:MALIC-NADP-RXN
18257,18258,METACYC:RXN0-1461
18261,18262,METACYC:R322-RXN
18273,18274,METACYC:PUTRESCINE-OXIDASE-RXN
18277,18278,METACYC:THIOL-S-METHYLTRANSFERASE-RXN
18293,18294,METACYC:OXALATE--COA-LIGASE-RXN
18301,18302,METACYC:GMP-SYN-NH3-RXN
18305,18306,METACYC:2.3.1.44-RXN
18313,18314,METACYC:MANDELONITRILE-LYASE-RXN
18325,18326,METACYC:RXN-8046
18341,18342,METACYC:RXN-19753
18345,18346,METACYC:RXN-18558
18349,18350,METACYC:6.1.1.23-RXN
18353,18354,METACYC:3.6.3.9-RXN
18365,18366,METACYC:1.1.1.83-RXN
18369,18370,METACYC:GLYCEROL-3-PHOSPHATE-OXIDASE-RXN
18373,18374,METACYC:2.7.1.154-RXN
18381,18382,METACYC:2.7.1.121-RXN
18385,18386,METACYC:6.4.1.6-RXN
18397,18398,METACYC:6.1.1.24-RXN
18401,18402,METACYC:1.14.13.68-RXN
18409,18411,METACYC:1.1.1.270-RXN
18425,18426,METACYC:QUINATE-5-DEHYDROGENASE-RXN
22364,22365,METACYC:QUINATE-5-DEHYDROGENASE-RXN
18433,18434,METACYC:CYCLOHEXYLAMINE-OXIDASE-RXN
18437,18438,METACYC:2.7.1.148-RXN
18453,18454,METACYC:3.6.3.42-RXN
18457,18458,METACYC:DIOHBUTANONEPSYN-RXN
18465,18466,METACYC:STIZOLOBINATE-SYNTHASE-RXN
18477,18478,METACYC:1.13.11.14-RXN
18485,18486,METACYC:6-ACETYLGLUCOSE-DEACETYLASE-RXN
18489,18490,METACYC:R524-RXN
18493,18494,METACYC:GLYCINE-N-BENZOYLTRANSFERASE-RXN
18497,18499,METACYC:LXULRU5P-RXN
18501,18503,METACYC:1.3.1.71-RXN
18505,18506,METACYC:LYSINE-DEHYDROGENASE-RXN
18513,18514,METACYC:1.1.3.40-RXN
18521,18522,METACYC:LICODIONE-2-O-METHYLTRANSFERASE-RXN
18525,18527,METACYC:1.1.1.265-RXN
18529,18531,METACYC:1.1.1.265-RXN
18533,18534,METACYC:RXN3DJ-170
18537,18538,METACYC:1.2.1.65-RXN
18541,18542,METACYC:2.1.1.119-RXN
18549,18550,METACYC:RXN-7668
18557,18558,METACYC:2.3.1.105-RXN
18561,18563,METACYC:RXN66-14
18565,18566,METACYC:2.3.1.161-RXN
18569,18570,METACYC:ARYL-ALDEHYDE-OXIDASE-RXN
18573,18574,METACYC:RXN-9275
18577,18578,METACYC:RXN-15304
18581,18582,METACYC:ETHANOLAMINE-OXIDASE-RXN
18589,18590,METACYC:GSADENYLATION-RXN
18593,18594,METACYC:SPHINGANINE-1-PHOSPHATE-ALDOLASE-RXN
18601,18602,METACYC:34-DIHYDROXYPHTHALATE-DECARBOXYLASE-RXN
18605,18606,METACYC:SCYLLO-INOSAMINE-KINASE-RXN
18613,18614,METACYC:1.14.99.15-RXN
18617,18618,METACYC:PEPCARBOXYKIN-RXN
18621,18622,METACYC:1.14.11.9-RXN
18629,18630,METACYC:NAD-KIN-RXN
18633,18634,METACYC:CARBPSYN-RXN
18649,18650,METACYC:GALACTONDEHYDRAT-RXN
18653,18654,METACYC:BARBITURASE-RXN
18657,18659,METACYC:RXN0-300
18669,18670,METACYC:ADENOSINE-NUCLEOSIDASE-RXN
18681,18682,METACYC:UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN
18685,18686,METACYC:PCP4MONO-RXN
18689,18690,METACYC:PHOSPHOLIPASE-A1-RXN
18697,18698,METACYC:4.1.1.80-RXN
18701,18702,METACYC:1.20.98.1-RXN
18709,18710,METACYC:TAURINE-DEHYDROGENASE-RXN
18717,18718,METACYC:2.1.1.84-RXN
18721,18722,METACYC:RXN-18892
18725,18726,METACYC:4.1.2.41-RXN
18737,18738,METACYC:2.7.9.3-RXN
18741,18742,METACYC:2.3.1.166-RXN
18745,18746,METACYC:JUGLONE-3-MONOOXYGENASE-RXN
18757,18758,METACYC:RXN-20448
18761,18762,METACYC:RXN-1602
18769,18770,METACYC:R82-RXN
18773,18774,METACYC:RXN-8099
18781,18782,METACYC:MALONYL-COA-DECARBOXYLASE-RXN
18797,18798,METACYC:RXN-8671
18805,18806,METACYC:RXN0-7310
18813,18814,METACYC:5.3.3.10-RXN
18829,18830,METACYC:ERYTHRON4PDEHYDROG-RXN
18841,18843,METACYC:TSA-REDUCT-RXN
18845,18847,METACYC:TSA-REDUCT-RXN
18849,18850,METACYC:RXN-11846
18857,18858,METACYC:1.14.13.94-RXN
18861,18862,METACYC:RXN-8448
18865,18866,METACYC:2.3.1.168-RXN
18869,18870,METACYC:LYXK-RXN
18877,18878,METACYC:MYO-INOSITOL-1-O-METHYLTRANSFERASE-RXN
18881,18882,METACYC:GAMMA-GLUTAMYLHISTAMINE-SYNTHASE-RXN
18885,18887,METACYC:1.1.1.271-RXN
18889,18890,METACYC:TREHALOSE6PSYN-RXN
18893,18894,METACYC:2.4.1.239-RXN
18897,18899,METACYC:1.97.1.11-RXN
18909,18910,METACYC:2.1.1.136-RXN
18913,18914,METACYC:2.4.99.10-RXN
18925,18926,METACYC:GLUCURONOLACTONE-REDUCTASE-RXN
18929,18930,METACYC:1.14.99.35-RXN
18933,18934,METACYC:RXN-9847
18937,18938,METACYC:3.5.1.97-RXN
18941,18943,METACYC:RXN-18649
18945,18946,METACYC:1.14.11.2-RXN
18953,18955,METACYC:SEPIAPTERIN-REDUCTASE-RXN
18957,18958,METACYC:RXN-10746
18969,18970,METACYC:RXN-19209
18973,18974,METACYC:1.14.11.20-RXN
18977,18978,METACYC:RXN-15745
18981,18983,METACYC:1.1.1.168-RXN
18993,18994,METACYC:1.13.11.45-RXN
18997,18998,METACYC:2.7.7.15-RXN
19009,19010,METACYC:ACYLPYRUVATE-HYDROLASE-RXN
19013,19014,METACYC:THYMIDINE-TRIPHOSPHATASE-RXN
19017,19018,METACYC:4.2.1.93-RXN
19021,19022,METACYC:2.4.1.40-RXN
19029,19030,METACYC:ALLOPHANATE-HYDROLASE-RXN
19041,19042,METACYC:RXN-7981
19045,19046,METACYC:RXN-7743
19057,19058,METACYC:1.11.1.12-RXN
19061,19063,METACYC:NITRATE-REDUCTASE-NADPH-RXN
19061,19063,METACYC:NITRATE-REDUCTASE-NADPORNOPH-RXN
19081,19082,METACYC:HALOALKANE-DEHALOGENASE-RXN
19089,19090,METACYC:UROPORIIIMETHYLTRANSA-RXN
19093,19094,METACYC:RXN-15805
19105,19106,METACYC:AMINOBUTDEHYDROG-RXN
19109,19110,METACYC:2.3.1.143-RXN
19117,19118,METACYC:DOPAMINE-BETA-MONOOXYGENASE-RXN
19121,19122,METACYC:TRANS-RXN-358
19129,19130,METACYC:THYKI-RXN
19137,19138,METACYC:ESTRADIOL-6-BETA-MONOOXYGENASE-RXN
19145,19146,METACYC:GLYCOSULFATASE-RXN
19153,19154,METACYC:FLAVONE-APIOSYLTRANSFERASE-RXN
19157,19158,METACYC:XYLONATE-DEHYDRATASE-RXN
19169,19170,METACYC:4.3.1.17-RXN
19173,19174,METACYC:NAPHTHALENE-12-DIOXYGENASE-RXN
19177,19178,METACYC:LYSINE-23-AMINOMUTASE-RXN
19181,19182,METACYC:RXN-13451
19185,19186,METACYC:HYDGLUTSYN-RXN
19189,19190,METACYC:RXN0-1134
19193,19195,METACYC:1.3.99.23-RXN
19197,19198,METACYC:2.7.7.51-RXN
19201,19202,METACYC:DEOXYGUANOSINE-KINASE-RXN
19205,19206,METACYC:3.5.4.30-RXN
19209,19211,METACYC:1.1.1.247-RXN
19213,19214,METACYC:2.3.1.80-RXN
19225,19226,METACYC:TDCEACT-RXN
19229,19231,METACYC:1.2.1.30-RXN
19233,19234,METACYC:3.1.2.22-RXN
19237,19238,METACYC:5.4.99.14-RXN
19241,19242,METACYC:1.14.13.79-RXN
19245,19246,METACYC:5.4.4.1-RXN
19253,19254,METACYC:SPHINGOMYELIN-PHOSPHODIESTERASE-RXN
19261,19262,METACYC:3.6.3.41-RXN
19269,19270,METACYC:2-FUROATE--COA-LIGASE-RXN
19273,19274,METACYC:N-ACETYLNEURAMINATE-SYNTHASE-RXN
19277,19278,METACYC:6.1.1.26-RXN
19281,19282,METACYC:RXN-8386
19289,19290,METACYC:SUCROSE-PHOSPHATASE-RXN
19297,19298,METACYC:CARNOSINE-SYNTHASE-RXN
19301,19302,METACYC:HISTAMINE-N-METHYLTRANSFERASE-RXN
19305,19306,METACYC:2.3.1.151-RXN
19309,19310,METACYC:3.1.3.70-RXN
19313,19314,METACYC:2.4.99.8-RXN
19317,19318,METACYC:RXN0-742
19325,19326,METACYC:1.14.13.62-RXN
19329,19330,METACYC:2.4.1.192-RXN
19333,19334,METACYC:OXALYL-COA-DECARBOXYLASE-RXN
19341,19342,METACYC:ALKANE-1-MONOOXYGENASE-RXN
19345,19346,METACYC:RXN-4510
19353,19354,METACYC:CHOLOYLGLYCINE-HYDROLASE-RXN
