Gene,Name
PN96_RS06405,ybbW
PN96_RS06530,hcaE
PN96_RS06535,hcaF
PN96_RS06540,hcaC
PN96_RS06545,hcaB
PN96_RS06550,hcaD
PN96_RS06560,mqo
PN96_RS06595,rhtB
PN96_RS06615,panF
PN96_RS06760,sspA
PN96_RS06900,astE
PN96_RS06910,gpmB
PN96_RS06915,cobU
PN96_RS06920,cobS
PN96_RS06925,cobT
PN96_RS06940,tcyP
PN96_RS07205,cdd
PN96_RS07245,kdgK
PN96_RS07310,speB
PN96_RS07395,maeA
PN96_RS07405,citT
PN96_RS07425,trxB
PN96_RS07430,cydD
PN96_RS07435,cydC
PN96_RS07440,dsdA
PN96_RS07445,serC
PN96_RS07490,gadA
PN96_RS07510,ybjL
PN96_RS07530,nhaA
PN96_RS07630,ushA
PN96_RS07710,metC
PN96_RS07800,torA
PN96_RS07820,focA
PN96_RS07840,tdk
PN96_RS07855,lpxH
PN96_RS07870,hisI
PN96_RS07875,hisF
PN96_RS07880,hisA
PN96_RS07885,hisH
PN96_RS07890,hisB
PN96_RS07895,hisC
PN96_RS07900,hisD
PN96_RS07905,hisG
PN96_RS07930,gsk
PN96_RS07950,purB
PN96_RS08000,bioD
PN96_RS08005,bioC
PN96_RS08010,bioF
PN96_RS08015,bioB
PN96_RS08020,bioA
PN96_RS08050,pntA
PN96_RS08105,fabD
PN96_RS08220,nadA
PN96_RS08265,cydX
PN96_RS08270,cydB
PN96_RS08275,cydA
PN96_RS08405,glgA
PN96_RS08410,glgC
PN96_RS08425,aroA
PN96_RS08530,hisM
PN96_RS08535,hisQ
PN96_RS08540,argT
PN96_RS08545,hisP
PN96_RS08560,pflB
PN96_RS08570,pflA
PN96_RS08600,kdsB
PN96_RS08610,lpxK
PN96_RS08665,ndh
PN96_RS08755,potI
PN96_RS08760,potH
PN96_RS08765,potG
PN96_RS08770,potF
PN96_RS08775,patA
PN96_RS08780,puuA
PN96_RS08785,puuA
PN96_RS08790,puuB
PN96_RS08935,cysM
PN96_RS09030,menF
PN96_RS09035,alaA
PN96_RS09045,dgt
PN96_RS09100,atoS
PN96_RS09115,yiaN
PN96_RS09120,yiaM
PN96_RS09125,yiaO
PN96_RS09135,ycjP
PN96_RS09140,ugpA
PN96_RS09220,entC
PN96_RS09240,folD
PN96_RS09245,nupX
PN96_RS09285,fadD
PN96_RS09315,purU
PN96_RS09350,feoB
PN96_RS09380,sucD
PN96_RS09385,sucC
PN96_RS09390,sucB
PN96_RS09395,sucA
PN96_RS09400,sdhB
PN96_RS09405,sdhA
PN96_RS09410,sdhD
PN96_RS09415,sdhC
PN96_RS09420,gltA
PN96_RS09435,pgm
PN96_RS09475,nagE
PN96_RS09480,nagA
PN96_RS09495,asnB
PN96_RS09510,hemH
PN96_RS09515,adk
PN96_RS09630,cysK
PN96_RS09640,ptsH
PN96_RS09645,ptsI
PN96_RS09650,crr
PN96_RS09825,ushA
PN96_RS09830,kdsA
PN96_RS09865,ispE
PN96_RS09870,prs
PN96_RS10090,glyA
PN96_RS10160,ppnN
PN96_RS10215,ispA
PN96_RS10220,dxs
PN96_RS10240,ribE
PN96_RS10245,ribB
PN96_RS10250,ribC
PN96_RS10255,ribD
PN96_RS10265,proA
PN96_RS10270,proB
PN96_RS10285,gpt
PN96_RS10290,adeP
PN96_RS10295,pepD
PN96_RS10330,purL
PN96_RS10385,gltP
PN96_RS10395,nadK
PN96_RS10470,rhaB
PN96_RS10475,rhaA
PN96_RS10480,rhaD
PN96_RS10515,metB
PN96_RS10530,yaaJ
PN96_RS10570,guaA
PN96_RS10575,guaB
PN96_RS10615,ispG
PN96_RS10630,ndk
PN96_RS10635,pepB
PN96_RS10725,aceA
PN96_RS10730,aceB
PN96_RS10760,pstB
PN96_RS10765,pstA
PN96_RS10770,pstC
PN96_RS10775,ppk
PN96_RS10780,ppx
PN96_RS10790,phoR
PN96_RS10905,yfiH
PN96_RS10930,pheA
PN96_RS10935,yjjX
PN96_RS10960,tyrA
PN96_RS10965,aroF
PN96_RS10995,cstA
PN96_RS11010,ispH
PN96_RS11030,ribF
PN96_RS11065,thyA
PN96_RS11080,ptsP
PN96_RS11145,brnQ
PN96_RS11165,yaaJ
PN96_RS11195,thrC
PN96_RS11200,thrB
PN96_RS11205,thrA
PN96_RS11245,gltB
PN96_RS11250,gltD
PN96_RS11255,gltB
PN96_RS11260,gltD
PN96_RS11270,mtnN
PN96_RS11295,yfcA
PN96_RS11300,carB
PN96_RS11305,carA
PN96_RS11310,dapB
PN96_RS11330,lpxC
PN96_RS11350,murC
PN96_RS11355,murG
PN96_RS11365,murD
PN96_RS11370,mraY
PN96_RS11375,murF
PN96_RS11380,murE
PN96_RS11500,cpdA
PN96_RS11510,nudF
PN96_RS11540,ygiF
PN96_RS11550,pitA
PN96_RS11580,folK
PN96_RS11585,folB
PN96_RS11670,mtlA
PN96_RS11675,mtlD
PN96_RS11690,murP
PN96_RS11700,glmS
PN96_RS11710,pykF
PN96_RS11715,ilvH
PN96_RS11720,ilvI
PN96_RS11725,fadK
PN96_RS11755,leuA
PN96_RS11760,leuB
PN96_RS11765,leuC
PN96_RS11770,leuD
PN96_RS11795,pdxA
PN96_RS11810,apaH
PN96_RS11815,folA
PN96_RS11855,mdh
PN96_RS11905,fbp
PN96_RS11910,ppa
PN96_RS11975,cysC
PN96_RS11980,yfbS
PN96_RS11985,cysN
PN96_RS11990,cysD
PN96_RS11995,cysG
PN96_RS12000,cpdB
PN96_RS12220,glpX
PN96_RS12250,tpiA
PN96_RS12320,galE
PN96_RS12330,wecC
PN96_RS12350,ugd
PN96_RS12425,galU
PN96_RS12470,yfbS
PN96_RS12475,cysD
PN96_RS12480,cysC
PN96_RS12490,cysN
PN96_RS12525,lpxM
PN96_RS12535,waaA
PN96_RS12585,coaD
PN96_RS12615,coaBC
PN96_RS12625,lpxL
PN96_RS12630,pyrE
PN96_RS12730,gmk
PN96_RS12740,spoT
PN96_RS12755,xanP
PN96_RS12795,bioH
PN96_RS12815,cysQ
PN96_RS12890,pckA
PN96_RS12930,glnA
PN96_RS12955,add
PN96_RS12960,hemN
PN96_RS13010,hemB
PN96_RS13220,gor
PN96_RS13230,eda
PN96_RS13235,ygbN
PN96_RS13240,idnK
PN96_RS13245,edd
PN96_RS13345,ilvC
PN96_RS13365,nagE
PN96_RS13400,hemG
PN96_RS13415,fadB
PN96_RS13470,avtA
PN96_RS13565,atpI
PN96_RS13570,atpB
PN96_RS13575,atpE
PN96_RS13580,atpF
PN96_RS13585,atpH
PN96_RS13590,atpA
PN96_RS13595,atpG
PN96_RS13600,atpD
PN96_RS13605,atpC
PN96_RS13610,glmU
PN96_RS13620,tcyJ
PN96_RS13635,ilvA
PN96_RS13640,ilvD
PN96_RS13645,ilvM
PN96_RS13650,ilvG
PN96_RS13750,purK
PN96_RS13755,purE
PN96_RS13765,hemF
PN96_RS13770,aroE
PN96_RS13920,ggt
PN96_RS13925,rhtC
PN96_RS13990,fre
PN96_RS14040,hemX
PN96_RS14045,hemD
PN96_RS14050,hemC
PN96_RS14055,cyaA
PN96_RS14070,lysA
PN96_RS14075,dapF
PN96_RS14090,yigB
PN96_RS14120,rhtB
PN96_RS14135,gapA
PN96_RS14210,glpE
PN96_RS14255,sthA
PN96_RS14285,murI
PN96_RS14395,accC
PN96_RS14410,acs
PN96_RS14430,evgS
PN96_RS14435,fumC
PN96_RS14445,actP
PN96_RS14470,dcuA
PN96_RS14475,aspA
PN96_RS14510,pfkA
PN96_RS14570,frdD
PN96_RS14575,frdC
PN96_RS14580,frdB
PN96_RS14585,frdA
PN96_RS14615,cysE
PN96_RS14620,gpsA
PN96_RS14635,gpmI
PN96_RS14645,citT
PN96_RS14755,hflX
PN96_RS14775,purA
PN96_RS14805,gph
PN96_RS14815,pabA
PN96_RS14820,argD
PN96_RS14825,astA
PN96_RS14830,astD
PN96_RS14955,bfr
PN96_RS14960,maeB
PN96_RS14975,metB
PN96_RS14980,metL
PN96_RS14985,metF
PN96_RS14995,ppc
PN96_RS15000,argE
PN96_RS15005,argC
PN96_RS15010,argB
PN96_RS15015,argG
PN96_RS15020,argH
PN96_RS15065,aroK
PN96_RS15070,aroB
PN96_RS15085,rpe
PN96_RS15120,alr
PN96_RS15130,pgi
PN96_RS15165,cysJ
PN96_RS15170,cysI
PN96_RS15175,cysH
PN96_RS15300,yeaW
PN96_RS15305,betT
PN96_RS15405,pstB
PN96_RS15410,pstA
PN96_RS15415,pstC
PN96_RS15420,pstS
PN96_RS15460,deoD
PN96_RS15510,aaaT
PN96_RS15550,lldP
PN96_RS15555,lldD
PN96_RS15590,tdh
PN96_RS15595,kbl
PN96_RS15765,nfsA
PN96_RS15775,gltP
PN96_RS15820,malP
PN96_RS15855,sstT
PN96_RS15860,pdxY
PN96_RS15905,treB
PN96_RS15970,tnaA
PN96_RS15975,mtr
PN96_RS16020,feaB
PN96_RS16025,bioA
PN96_RS16035,lysA
PN96_RS16050,putP
PN96_RS16060,gabP
PN96_RS16150,galT
PN96_RS16155,galE
PN96_RS16160,dauA
PN96_RS16165,uidA
PN96_RS16235,araH
PN96_RS16240,araG
PN96_RS16245,araF
PN96_RS16250,araB
PN96_RS16255,ulaF
PN96_RS16260,araA
PN96_RS16270,galM
PN96_RS16290,tauC
PN96_RS16295,tauB
PN96_RS16300,tauA
PN96_RS16305,patA
PN96_RS16390,putP
PN96_RS16400,putA
PN96_RS16420,pdxH
PN96_RS16425,atoS
PN96_RS16570,gltS
PN96_RS16595,nagB
PN96_RS16680,ppnP
PN96_RS16725,yeiG
PN96_RS16730,frmA
PN96_RS16770,kdgK
PN96_RS16775,eda
PN96_RS16785,eamB
PN96_RS16855,dsdX
PN96_RS16860,glxK
PN96_RS16880,torZ
PN96_RS17000,ldhA
PN96_RS17015,mdh
PN96_RS17080,speB
PN96_RS17085,speA
PN96_RS17125,brnQ
PN96_RS17150,psuT
PN96_RS17225,livJ
PN96_RS17230,livH
PN96_RS24345,livF
PN96_RS17240,codA
PN96_RS17305,argD
PN96_RS17325,potA
PN96_RS17330,afuB
PN96_RS17365,sdaB
PN96_RS17440,yahN
PN96_RS17485,pncA
PN96_RS17495,pncB
PN96_RS17645,betT
PN96_RS17695,ppsA
PN96_RS17705,purA
PN96_RS17785,hisC
PN96_RS17800,xanP
PN96_RS17810,hiuH
PN96_RS17820,yqeB
PN96_RS17825,xdhA
PN96_RS17830,paoA
PN96_RS17880,astC
PN96_RS17885,gabD
PN96_RS17900,pepP
PN96_RS17910,hxpB
PN96_RS17995,fabG
PN96_RS18020,add
PN96_RS18100,btuE
PN96_RS18105,ribB
PN96_RS18150,yjeH
PN96_RS18165,rhtC
PN96_RS18175,gapA
PN96_RS18280,rhtB
PN96_RS18285,fabG
PN96_RS18290,atoB
PN96_RS18315,napB
PN96_RS18320,napA
PN96_RS18360,tadA
PN96_RS18400,aroG
PN96_RS18410,tktA
PN96_RS18415,talB
PN96_RS18430,yiaN
PN96_RS18435,sseA
PN96_RS18455,folE
PN96_RS18490,guaC
PN96_RS18635,yfcC
PN96_RS18700,yiaN
PN96_RS18740,yiaO
PN96_RS18745,yiaM
PN96_RS18750,yiaN
PN96_RS18770,ydiB
PN96_RS18780,rraA
PN96_RS18845,yiaN
PN96_RS18855,yiaO
PN96_RS18890,yiaN
PN96_RS18905,paaZ
PN96_RS18910,paaA
