Protein,Stoichiometry,Isozyme,Rhea
PN96_RS03565,2,B,41916
PN96_RS02915,2,A,41916
PN96_RS05720,2,B,41924
PN96_RS02355,1,A,41924
PN96_RS08010,2,A,42288
PN96_RS05075,1,A,42340
PN96_RS19845,1,B,42340
PN96_RS12795,1,A,42700
PN96_RS10615,1,A,43604
PN96_RS11585,8,A,45332
PN96_RS17885,1,A,45764
PN96_RS18285,1,A,45796
PN96_RS19725,1,B,46012
PN96_RS06560,1,A,46012
PN96_RS08665,1,A,46160
PN96_RS24125,4,C,46160
PN96_RS20420,4,B,46160
PN96_RS24125,4,B,46164
PN96_RS20420,4,A,46164
PN96_RS20515,1,A,51468
PN96_RS20735,2,A,51616
PN96_RS20735,2,A,51620
PN96_RS20735,2,A,51624
PN96_RS20735,2,A,51628
PN96_RS17900,1,A,52304
PN96_RS16680,1,A,52540
PN96_RS15000,2,A,61092
PN96_RS06400,1,A,64820
PN96_RS13400,4,A,65032
PN96_RS21300,6,A,70223
PN96_RS20755,1,A,70295
PN96_RS18950,4,A,70427
PN96_RS01265,1,A,72067
PN96_RS00875,4,A,72075
PN96_RS19245,1,A,76495
PN96_RS23265,1,B,76495
PN96_RS19250,1,A,76499
PN96_RS23270,1,B,76499
PN96_RS18935,1,A,76647
PN96_RS12815,1,A,77639
PN96_RS12815,1,A,77643
PN96_RS02850,2,A,31187
PN96_RS13415,2,A,31187
PN96_RS06730,1,A,30779
PN96_RS06735,1,A,30779
PN96_RS17820,1,A,24670
PN96_RS17825,1,A,24670
PN96_RS17830,1,A,24670
PN96_RS02850,2,A,30799
PN96_RS13415,2,A,30799
PN96_RS11770,1,A,16293
PN96_RS11765,1,A,16293
PN96_RS11770,1,A,10676
PN96_RS11765,1,A,10676
PN96_RS02850,2,A,31159
PN96_RS13415,2,A,31159
PN96_RS02850,2,A,31167
PN96_RS13415,2,A,31167
PN96_RS02850,2,A,31179
PN96_RS13415,2,A,31179
PN96_RS02850,2,A,31195
PN96_RS13415,2,A,31195
PN96_RS02850,2,A,31143
PN96_RS13415,2,A,31143
PN96_RS19440,2,A,21448
PN96_RS19445,2,A,21448
PN96_RS19450,2,A,21448
PN96_RS06550,1,A,25058
PN96_RS06540,1,A,25058
PN96_RS06535,1,A,25058
PN96_RS06530,1,A,25058
PN96_RS09395,2,A,27786
PN96_RS09390,2,A,27786
PN96_RS22095,1,A,27786
PN96_RS09395,2,B,27786
PN96_RS09390,2,B,27786
PN96_RS01375,1,B,27786
PN96_RS11715,2,A,27654
PN96_RS13650,2,A,27654
PN96_RS11715,2,B,27654
PN96_RS11720,2,B,27654
PN96_RS13645,2,C,27654
PN96_RS13650,2,C,27654
PN96_RS13645,2,D,27654
PN96_RS11720,2,D,27654
PN96_RS18910,2,A,32171
PN96_RS18915,3,A,32171
PN96_RS18920,2,A,32171
PN96_RS18925,1,A,32171
PN96_RS18930,1,A,32171
PN96_RS03970,2,A,21732
PN96_RS03975,2,A,21732
PN96_RS18315,1,A,12909
PN96_RS18320,1,A,12909
PN96_RS02850,2,A,21760
PN96_RS13415,2,A,21760
PN96_RS08935,2,A,14829
PN96_RS09630,2,A,14829
PN96_RS11770,1,A,22332
PN96_RS11765,1,A,22332
PN96_RS11770,1,A,42424
PN96_RS11765,1,A,42424
PN96_RS03555,4,A,41920
PN96_RS17995,4,B,41920
PN96_RS19340,4,C,41920
PN96_RS20300,4,D,41920
PN96_RS21730,4,E,41920
PN96_RS07515,1,A,41928
PN96_RS20950,1,A,41928
PN96_RS14980,1,A,15757
PN96_RS14980,1,B,15757
PN96_RS11770,1,A,32287
PN96_RS11765,1,A,32287
PN96_RS04295,1,A,11672
PN96_RS14815,1,A,11672
PN96_RS11300,2,A,30755
PN96_RS11305,2,A,30755
PN96_RS00570,6,A,20013
PN96_RS00575,6,A,20013
PN96_RS03555,4,A,41804
PN96_RS17995,4,B,41804
PN96_RS19340,4,C,41804
PN96_RS20300,4,D,41804
PN96_RS21730,4,E,41804
PN96_RS07515,1,A,41832
PN96_RS20950,1,A,41832
PN96_RS07515,1,A,41528
PN96_RS20950,1,A,41528
PN96_RS07515,1,A,41848
PN96_RS20950,1,A,41848
PN96_RS03555,4,A,41840
PN96_RS17995,4,B,41840
PN96_RS19340,4,C,41840
PN96_RS20300,4,D,41840
PN96_RS21730,4,E,41840
PN96_RS03555,4,A,41856
PN96_RS17995,4,B,41856
PN96_RS19340,4,C,41856
PN96_RS20300,4,D,41856
PN96_RS21730,4,E,41856
PN96_RS03555,4,A,41872
PN96_RS17995,4,B,41872
PN96_RS19340,4,C,41872
PN96_RS20300,4,D,41872
PN96_RS21730,4,E,41872
PN96_RS03555,4,A,41888
PN96_RS17995,4,B,41888
PN96_RS19340,4,C,41888
PN96_RS20300,4,D,41888
PN96_RS21730,4,E,41888
PN96_RS03555,4,A,41904
PN96_RS17995,4,B,41904
PN96_RS19340,4,C,41904
PN96_RS20300,4,D,41904
PN96_RS21730,4,E,41904
PN96_RS07515,1,A,41912
PN96_RS20950,1,A,41912
PN96_RS07515,1,A,54900
PN96_RS20950,1,A,54900
PN96_RS06265,1,A,20557
PN96_RS06270,1,A,20557
PN96_RS06275,1,A,20557
PN96_RS01825,1,A,30751
PN96_RS03940,1,A,30751
PN96_RS09285,2,A,30751
PN96_RS11725,1,A,30751
PN96_RS19165,1,A,30751
PN96_RS15170,8,A,13801
PN96_RS15165,8,A,13801
PN96_RS17820,1,A,16669
PN96_RS17825,1,A,16669
PN96_RS17830,1,A,16669
PN96_RS04120,2,A,28034
PN96_RS04115,2,A,28034
PN96_RS04120,2,A,28026
PN96_RS04115,2,A,28026
PN96_RS04120,2,A,28030
PN96_RS04115,2,A,28030
PN96_RS04120,2,A,28038
PN96_RS04115,2,A,28038
PN96_RS22470,1,A,13313
PN96_RS22475,1,A,13313
PN96_RS22480,1,A,13313
PN96_RS22485,1,A,13313
PN96_RS23205,1,A,13313
PN96_RS09380,2,A,17661
PN96_RS09385,2,A,17661
PN96_RS14255,8,A,11692
PN96_RS03555,4,A,41824
PN96_RS17995,4,B,41824
PN96_RS19340,4,C,41824
PN96_RS20300,4,D,41824
PN96_RS21730,4,E,41824
PN96_RS07875,1,A,24793
PN96_RS07885,1,A,24793
PN96_RS08935,2,A,14829
PN96_RS09630,2,A,14829
PN96_RS07515,1,A,41864
PN96_RS20950,1,A,41864
PN96_RS07515,1,A,54936
PN96_RS20950,1,A,54936
PN96_RS11305,2,A,18633
PN96_RS11300,2,A,18633
PN96_RS13415,2,A,21760
PN96_RS02850,2,A,21760
PN96_RS01365,24,A,28042
PN96_RS01370,24,A,28042
PN96_RS01375,24,A,28042
PN96_RS21360,24,B,28042
PN96_RS21365,24,B,28042
PN96_RS21370,24,B,28042
PN96_RS21415,24,C,28042
PN96_RS21420,24,C,28042
PN96_RS09395,2,A,30795
PN96_RS09390,2,A,30795
PN96_RS22095,1,A,30795
PN96_RS09395,2,B,30795
PN96_RS09390,2,B,30795
PN96_RS01375,1,B,30795
PN96_RS11985,1,A,18133
PN96_RS12490,1,B,18133
PN96_RS12475,1,A,18133
PN96_RS11990,1,B,18133
PN96_RS07515,1,A,41880
PN96_RS20950,1,A,41880
PN96_RS07515,1,A,41896
PN96_RS20950,1,A,41896
PN96_RS19420,1,A,24628
PN96_RS19425,2,A,24628
PN96_RS19420,1,D,24628
PN96_RS20595,2,D,24628
PN96_RS20600,1,B,24628
PN96_RS20595,2,B,24628
PN96_RS20600,1,C,24628
PN96_RS19425,2,C,24628
PN96_RS03950,2,B,26434
PN96_RS03955,2,B,26434
PN96_RS22760,2,A,26434
PN96_RS03950,2,A,26434
PN96_RS11245,2,A,15501
PN96_RS11250,2,A,15501
PN96_RS11255,2,B,15501
PN96_RS11260,2,B,15501
PN96_RS11245,2,A,11612
PN96_RS11250,2,A,11612
PN96_RS11255,2,B,11612
PN96_RS11260,2,B,11612
PN96_RS05935,1,A,15985
PN96_RS05940,1,A,15985
PN96_RS05945,1,A,15985
PN96_RS05935,1,B,15985
PN96_RS05940,1,B,15985
PN96_RS23110,1,B,15985
PN96_RS05935,1,C,15985
PN96_RS05940,1,C,15985
PN96_RS21445,1,C,15985
PN96_RS07800,1,A,22024
PN96_RS16880,1,B,22024
PN96_RS20010,1,A,15837
PN96_RS04840,1,B,15837
PN96_RS02970,1,A,11308
PN96_RS14395,1,B,11308
PN96_RS02380,1,C,11308
PN96_RS03550,1,A,41792
PN96_RS08105,1,B,41792
PN96_RS03545,1,A,12080
PN96_RS20655,1,B,12080
PN96_RS20950,1,A,41812
PN96_RS20950,1,B,54868
PN96_RS07515,1,A,41812
PN96_RS07515,1,B,54868
PN96_RS09415,1,A,40523
PN96_RS09410,1,A,40523
PN96_RS09405,1,A,40523
PN96_RS09400,1,A,40523
PN96_RS14580,1,B,40523
PN96_RS14575,1,B,40523
PN96_RS14585,1,B,40523
PN96_RS14570,1,B,40523
PN96_RS03950,2,A,14081
PN96_RS22760,2,A,14081
PN96_RS03950,2,B,14081
PN96_RS03955,2,B,14081
PN96_RS03950,2,A,10532
PN96_RS22760,2,A,10532
PN96_RS03950,2,B,10532
PN96_RS03955,2,B,10532
