Protein,Stoichiometry,Isozyme,Rhea
PN96_RS22435,1,A,13553
PN96_RS00875,4,A,13557
PN96_RS05060,1,A,13633
PN96_RS14055,1,A,13665
PN96_RS15085,1,A,13677
PN96_RS19970,2,A,13697
PN96_RS05150,1,A,13701
PN96_RS02330,2,A,13717
PN96_RS13610,3,A,13725
PN96_RS21835,6,A,13849
PN96_RS10960,1,A,13869
PN96_RS10960,1,B,13897
PN96_RS10930,2,A,13897
PN96_RS02360,3,A,13925
PN96_RS17080,1,A,13929
PN96_RS07710,4,A,13965
PN96_RS22415,2,B,13965
PN96_RS11200,1,A,13985
PN96_RS16150,2,A,13989
PN96_RS22440,2,B,13989
PN96_RS09830,3,A,14053
PN96_RS16025,1,A,14077
PN96_RS00280,1,A,14089
PN96_RS19875,1,B,14105
PN96_RS00840,1,A,14105
PN96_RS19875,1,B,14109
PN96_RS00840,1,A,14109
PN96_RS11540,1,A,14157
PN96_RS12740,1,A,14253
PN96_RS01580,2,A,14265
PN96_RS07445,2,A,14329
PN96_RS11030,1,A,14357
PN96_RS14805,1,A,14369
PN96_RS07890,1,A,14465
PN96_RS17485,1,A,14545
PN96_RS15010,2,A,14629
PN96_RS00955,2,A,14657
PN96_RS19035,1,A,14665
PN96_RS22165,1,B,14665
PN96_RS18400,4,B,14717
PN96_RS05610,4,C,14717
PN96_RS10965,4,A,14717
PN96_RS00925,2,A,14729
PN96_RS16770,1,A,14797
PN96_RS00920,1,A,14801
PN96_RS06760,1,A,14817
PN96_RS16260,6,A,14821
PN96_RS02990,4,A,14905
PN96_RS16725,1,A,14961
PN96_RS11815,1,A,15009
PN96_RS16420,2,A,15033
PN96_RS02460,1,A,15053
PN96_RS04245,2,A,15093
PN96_RS23535,2,B,15093
PN96_RS14070,2,A,15101
PN96_RS06900,1,A,15169
PN96_RS14825,1,A,15185
PN96_RS09045,4,A,15193
PN96_RS01065,8,A,15265
PN96_RS14075,2,A,15393
PN96_RS12960,1,A,15425
PN96_RS06770,1,A,15449
PN96_RS07880,1,A,15469
PN96_RS22490,2,B,15481
PN96_RS10090,2,C,15481
PN96_RS21240,2,A,15481
PN96_RS09870,6,A,15609
PN96_RS05600,1,A,15613
PN96_RS11995,1,B,15613
PN96_RS04065,1,A,15689
PN96_RS14775,2,A,15753
PN96_RS17705,2,B,15753
PN96_RS14980,4,B,15757
PN96_RS11205,4,A,15757
PN96_RS11205,4,A,15761
PN96_RS14980,1,B,15761
PN96_RS08000,2,A,15805
PN96_RS21965,1,B,15841
PN96_RS05360,1,A,15841
PN96_RS23275,1,A,15869
PN96_RS14635,1,A,15901
PN96_RS15000,2,A,15941
PN96_RS20670,1,A,15989
PN96_RS16680,1,A,16037
PN96_RS07205,2,A,16069
PN96_RS14510,4,A,16109
PN96_RS22795,1,A,16117
PN96_RS07245,1,A,16125
PN96_RS06775,1,A,16189
PN96_RS18945,1,A,16197
PN96_RS03570,2,A,16201
PN96_RS02090,1,A,16233
PN96_RS05180,1,B,16233
PN96_RS03075,2,A,16249
PN96_RS17000,1,A,16369
PN96_RS00060,1,A,16373
PN96_RS16400,2,A,16417
PN96_RS19745,2,B,16417
PN96_RS23300,1,A,16425
PN96_RS11365,1,A,16429
