locustag,Desc
PN96_RS17960,rhlE
PN96_RS17995,fabG
PN96_RS18000,yghU
PN96_RS18020,ade
PN96_RS18035,cspA
PN96_RS18040,pir
PN96_RS18065,mviM
PN96_RS18070,eptA
PN96_RS18075,dgkA
PN96_RS18090,dsbA
PN96_RS18100,gpx
PN96_RS18105,ribB
PN96_RS18130,mgtE
PN96_RS18150,yjeH
PN96_RS18165,rhtC
PN96_RS18175,gapdh
PN96_RS18185,dinF
PN96_RS18215,luxQ
PN96_RS18220,slyA
PN96_RS18245,lrp
PN96_RS18270,secD
PN96_RS18275,secF
PN96_RS18280,rhtB
PN96_RS18285,phbB
PN96_RS18290,acaT
PN96_RS18300,phaC
PN96_RS18310,napC
PN96_RS18315,napB
PN96_RS18320,napA
PN96_RS18325,napD
PN96_RS18330,napF
PN96_RS18335,narQ
PN96_RS18340,narP
PN96_RS18355,pepT
PN96_RS18360,comeb
PN96_RS18365,acrA
PN96_RS18370,acrB
PN96_RS18375,mcp
PN96_RS18380,yaeJ
PN96_RS18405,aer
PN96_RS18435,tst
PN96_RS18445,moeB
PN96_RS18450,moeA
PN96_RS18465,clcA
PN96_RS18485,nnr
PN96_RS18490,guaC
PN96_RS18555,pcaR
PN96_RS18560,pcaD
PN96_RS18565,pcaF
PN96_RS18570,gctB
PN96_RS18575,gctA
PN96_RS18580,benM
PN96_RS18585,catB
PN96_RS18590,catC
PN96_RS18595,catA
PN96_RS18600,xylX
PN96_RS18605,xylY
PN96_RS18610,xylZ
PN96_RS18615,xylL
PN96_RS18620,benK
PN96_RS18625,abgR
PN96_RS18630,hipO
PN96_RS18650,nhaC
PN96_RS18685,lhgO
PN96_RS18690,csiD
PN96_RS18715,mrcB
PN96_RS18725,ligC
PN96_RS18755,mdcF
PN96_RS18765,aroQ
PN96_RS18770,qsuD
PN96_RS18775,ligJ
PN96_RS18780,ligK
PN96_RS18785,galD
PN96_RS18790,ligI
PN96_RS18795,ligA
PN96_RS18800,ligB
PN96_RS18805,yclQ
PN96_RS18830,pobA
PN96_RS18835,pobR
PN96_RS18870,lapB
PN96_RS18875,lapB
PN96_RS18880,lapC
PN96_RS18905,paaZ
PN96_RS18910,paaA
PN96_RS18915,paaB
PN96_RS18920,paaC
PN96_RS18925,paaD
PN96_RS18930,paaE
PN96_RS18935,paaF
PN96_RS18940,paaG
PN96_RS18945,paaH
PN96_RS18950,paaI
PN96_RS18955,paaJ
PN96_RS18960,paaK
PN96_RS18965,paaX
PN96_RS18970,paaY
PN96_RS19000,catB
PN96_RS19035,guaD
PN96_RS19050,ltnD
PN96_RS19055,otnK
PN96_RS19060,otnC
PN96_RS19065,otnI
PN96_RS19095,pflA
PN96_RS19125,ynfM
PN96_RS19130,eamA
PN96_RS19145,fixB
PN96_RS19150,fixA
PN96_RS19155,etfdh
PN96_RS19160,livG
PN96_RS19165,acsL
PN96_RS19170,livH
PN96_RS19175,livM
PN96_RS19180,livK
PN96_RS19185,livF
PN96_RS19205,cyc
PN96_RS19245,dgcN
PN96_RS19250,ycjG
PN96_RS19260,metE
PN96_RS19270,slyA
PN96_RS19280,hmgcl
PN96_RS19290,liuC
PN96_RS19300,ivd
PN96_RS19310,acaT
PN96_RS19315,mmsA
PN96_RS19335,hibadh
PN96_RS19340,fabG
PN96_RS19345,betI
PN96_RS19350,betB
PN96_RS19355,betA
PN96_RS19360,proX
PN96_RS19365,proW
PN96_RS19370,proV
PN96_RS19380,nfeD
PN96_RS19405,narL
PN96_RS19420,nirD
PN96_RS19425,nirB
PN96_RS19430,cysG
PN96_RS19435,nasC
PN96_RS19440,nifH
PN96_RS19445,nifD
PN96_RS19450,nifK
PN96_RS19455,nifT
PN96_RS19470,nifE
PN96_RS19475,nifN
PN96_RS19480,nifX
PN96_RS19495,iscS
PN96_RS19500,nifV
PN96_RS19510,nifZ
PN96_RS19515,ppiC
PN96_RS19520,modA
PN96_RS19525,modB
PN96_RS19530,modC
PN96_RS19535,rarD
PN96_RS19555,idnK
PN96_RS19575,leuE
PN96_RS19590,cspA
PN96_RS19595,nifQ
PN96_RS19605,nifB
PN96_RS19610,nifA
PN96_RS19615,nifL
PN96_RS19620,rnfA
PN96_RS19625,rnfB
PN96_RS19630,rnfC
PN96_RS19635,rnfD
PN96_RS19640,rnfG
PN96_RS19645,rnfE
PN96_RS19655,fldA
PN96_RS19675,nodT
PN96_RS19680,acrB
PN96_RS19685,acrA
PN96_RS19690,bcr
PN96_RS19705,mdcF
PN96_RS19710,licT
PN96_RS19715,bglF
PN96_RS19725,mqo
PN96_RS19730,aspA
PN96_RS19735,putP
PN96_RS19745,putA
PN96_RS19780,amaB
PN96_RS19805,amaA
PN96_RS19810,nhaC
PN96_RS19825,lhpA
PN96_RS19830,lhpB
PN96_RS19835,nhaC
PN96_RS19840,dapA
PN96_RS19845,puuC
PN96_RS19850,ynfM
PN96_RS19865,lrp
PN96_RS19870,leuA
PN96_RS19875,proC
PN96_RS19890,soxR
PN96_RS19900,int
PN96_RS19945,mbaA
PN96_RS19950,rbsD
PN96_RS19955,rbsA
PN96_RS19960,rbsC
PN96_RS19965,rbsB
PN96_RS19970,rbsK
PN96_RS19975,galR
PN96_RS19985,cueR
PN96_RS20005,helD
PN96_RS20010,mgsA
PN96_RS20015,torT
